redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,6.601704443371e+00
3.000000000000e-02,6.598561682578e+00
5.000000000000e-02,6.566519938807e+00
7.000000000000e-02,6.985556131026e+00
9.000000000000e-02,6.975142221047e+00
1.100000000000e-01,7.108567155355e+00
1.300000000000e-01,6.844259260006e+00
1.500000000000e-01,6.997350893721e+00
1.700000000000e-01,7.456046603278e+00
1.900000000000e-01,7.571551443970e+00
2.100000000000e-01,7.494740705895e+00
2.300000000000e-01,7.854771044924e+00
2.500000000000e-01,8.309721220522e+00
2.700000000000e-01,8.072163197131e+00
2.900000000000e-01,8.283072452493e+00
3.100000000000e-01,8.393887514080e+00
3.300000000000e-01,8.276627452729e+00
3.500000000000e-01,8.812915928120e+00
3.700000000000e-01,9.232989081272e+00
3.900000000000e-01,8.804368799398e+00
4.100000000000e-01,9.189642980932e+00
4.300000000000e-01,9.485184300826e+00
4.500000000000e-01,9.656242121493e+00
4.700000000000e-01,9.861678860795e+00
4.900000000000e-01,9.872286126589e+00
5.100000000000e-01,1.060505200175e+01
5.300000000000e-01,1.024051355304e+01
5.500000000000e-01,1.055281611801e+01
5.700000000000e-01,1.104512194901e+01
5.900000000000e-01,1.077359392917e+01
6.100000000000e-01,1.133455743538e+01
6.300000000000e-01,1.130982383011e+01
6.500000000000e-01,1.155258273459e+01
6.700000000000e-01,1.116527821608e+01
6.900000000000e-01,1.125751443091e+01
7.100000000000e-01,1.139032308790e+01
7.300000000000e-01,1.157839781432e+01
7.500000000000e-01,1.210345290325e+01
7.700000000000e-01,1.189664090142e+01
7.900000000000e-01,1.270474161277e+01
8.100000000000e-01,1.247880650536e+01
8.300000000000e-01,1.286699164242e+01
8.500000000000e-01,1.326832060655e+01
8.700000000000e-01,1.309790308569e+01
8.900000000000e-01,1.324824838491e+01
9.100000000000e-01,1.346047554563e+01
9.300000000000e-01,1.346952346494e+01
9.500000000000e-01,1.359853624038e+01
9.700000000000e-01,1.381528767061e+01
9.900000000000e-01,1.372874341604e+01
1.010000000000e+00,1.402283045873e+01
1.030000000000e+00,1.472231666958e+01
1.050000000000e+00,1.399529433245e+01
1.070000000000e+00,1.417068339791e+01
1.090000000000e+00,1.402907255424e+01
1.110000000000e+00,1.444077438579e+01
1.130000000000e+00,1.423956344192e+01
1.150000000000e+00,1.458788777032e+01
1.170000000000e+00,1.408626925189e+01
1.190000000000e+00,1.445081570253e+01
1.210000000000e+00,1.364679873747e+01
1.230000000000e+00,1.423779106084e+01
1.250000000000e+00,1.391594979089e+01
1.270000000000e+00,1.386641525607e+01
1.290000000000e+00,1.368386962100e+01
1.310000000000e+00,1.396202031409e+01
1.330000000000e+00,1.376605580597e+01
1.350000000000e+00,1.363877186698e+01
1.370000000000e+00,1.385300453523e+01
1.390000000000e+00,1.387630533745e+01
1.410000000000e+00,1.396244524627e+01
