redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.008704896293e+01
3.000000000000e-02,1.020019053388e+01
5.000000000000e-02,1.009465885153e+01
7.000000000000e-02,1.067269267466e+01
9.000000000000e-02,1.070815019712e+01
1.100000000000e-01,1.082026885058e+01
1.300000000000e-01,1.063465930648e+01
1.500000000000e-01,1.074978228839e+01
1.700000000000e-01,1.144388869758e+01
1.900000000000e-01,1.165424582099e+01
2.100000000000e-01,1.140312900982e+01
2.300000000000e-01,1.191538723074e+01
2.500000000000e-01,1.241828900752e+01
2.700000000000e-01,1.211027778587e+01
2.900000000000e-01,1.239413983813e+01
3.100000000000e-01,1.255211283359e+01
3.300000000000e-01,1.243386793966e+01
3.500000000000e-01,1.309365221713e+01
3.700000000000e-01,1.378651234565e+01
3.900000000000e-01,1.321210535591e+01
4.100000000000e-01,1.373969647892e+01
4.300000000000e-01,1.418217156200e+01
4.500000000000e-01,1.452378358026e+01
4.700000000000e-01,1.484233296669e+01
4.900000000000e-01,1.473570625795e+01
5.100000000000e-01,1.593357907609e+01
5.300000000000e-01,1.543216772490e+01
5.500000000000e-01,1.586817970959e+01
5.700000000000e-01,1.664075811026e+01
5.900000000000e-01,1.633088517373e+01
6.100000000000e-01,1.703379880610e+01
6.300000000000e-01,1.716041445446e+01
6.500000000000e-01,1.775512173123e+01
6.700000000000e-01,1.685464138303e+01
6.900000000000e-01,1.717249813160e+01
7.100000000000e-01,1.730483228848e+01
7.300000000000e-01,1.773153283030e+01
7.500000000000e-01,1.829863963675e+01
7.700000000000e-01,1.825404945211e+01
7.900000000000e-01,1.920114641452e+01
8.100000000000e-01,1.916743010405e+01
8.300000000000e-01,1.959707666898e+01
8.500000000000e-01,2.032008779263e+01
8.700000000000e-01,1.999257597109e+01
8.900000000000e-01,2.032211561314e+01
9.100000000000e-01,2.072142291534e+01
9.300000000000e-01,2.071037626507e+01
9.500000000000e-01,2.054567900893e+01
9.700000000000e-01,2.141258958047e+01
9.900000000000e-01,2.098087653687e+01
1.010000000000e+00,2.141284247013e+01
1.030000000000e+00,2.247198973200e+01
1.050000000000e+00,2.133909075683e+01
1.070000000000e+00,2.164561792974e+01
1.090000000000e+00,2.163644605173e+01
1.110000000000e+00,2.206424614634e+01
1.130000000000e+00,2.192753198340e+01
1.150000000000e+00,2.243563830988e+01
1.170000000000e+00,2.190408674670e+01
1.190000000000e+00,2.230456772230e+01
1.210000000000e+00,2.137286160282e+01
1.230000000000e+00,2.210222955368e+01
1.250000000000e+00,2.191756888479e+01
1.270000000000e+00,2.173938433443e+01
1.290000000000e+00,2.148169783955e+01
1.310000000000e+00,2.220731511493e+01
1.330000000000e+00,2.152865390522e+01
1.350000000000e+00,2.156407217969e+01
1.370000000000e+00,2.188711527201e+01
1.390000000000e+00,2.206228273441e+01
1.410000000000e+00,2.192427093441e+01
1.430000000000e+00,2.166322682512e+01
1.450000000000e+00,2.123315023591e+01
1.470000000000e+00,2.175317555281e+01
1.490000000000e+00,2.206872075331e+01
1.510000000000e+00,2.104963055356e+01
1.530000000000e+00,2.127004689408e+01
1.550000000000e+00,2.053665019682e+01
1.570000000000e+00,2.155933959828e+01
1.590000000000e+00,2.098293970318e+01
1.610000000000e+00,2.120071617365e+01
1.630000000000e+00,2.138765867800e+01
1.650000000000e+00,2.079731472555e+01
1.670000000000e+00,2.185320315123e+01
1.690000000000e+00,2.101940663275e+01
1.710000000000e+00,2.121571305026e+01
1.730000000000e+00,2.105087489028e+01
1.750000000000e+00,2.151916495137e+01
1.770000000000e+00,2.111495874759e+01
1.790000000000e+00,2.019521911872e+01
1.810000000000e+00,2.138594161573e+01
1.830000000000e+00,2.062782089066e+01
1.850000000000e+00,2.046487479216e+01
1.870000000000e+00,2.087491562705e+01
1.890000000000e+00,2.053317093729e+01
1.910000000000e+00,2.068621643832e+01
1.930000000000e+00,2.051114275573e+01
1.950000000000e+00,2.082380540057e+01
1.970000000000e+00,2.066756876674e+01
1.990000000000e+00,2.130860970651e+01
2.010000000000e+00,2.040693262111e+01
2.030000000000e+00,2.028705515640e+01
2.050000000000e+00,2.075166100575e+01
2.070000000000e+00,2.067751524782e+01
2.090000000000e+00,2.042902109997e+01
2.110000000000e+00,2.009234138556e+01
2.130000000000e+00,2.007968731994e+01
2.150000000000e+00,2.020749564723e+01
2.170000000000e+00,2.026204353818e+01
2.190000000000e+00,1.992343480256e+01
2.210000000000e+00,2.003394136143e+01
2.230000000000e+00,1.983039653014e+01
2.250000000000e+00,1.999338590321e+01
2.270000000000e+00,1.965517300664e+01
2.290000000000e+00,1.946436002803e+01
2.310000000000e+00,1.968387834121e+01
2.330000000000e+00,1.932014290675e+01
2.350000000000e+00,1.906892389437e+01
2.370000000000e+00,1.939196380027e+01
2.390000000000e+00,1.930809049914e+01
2.410000000000e+00,1.908794946366e+01
2.430000000000e+00,1.929454162159e+01
2.450000000000e+00,1.903850008666e+01
2.470000000000e+00,1.917874198049e+01
2.490000000000e+00,1.876690187646e+01
2.510000000000e+00,1.913125767112e+01
2.530000000000e+00,1.916397708055e+01
2.550000000000e+00,1.880805825035e+01
2.570000000000e+00,1.867864745145e+01
2.590000000000e+00,1.905542284275e+01
2.610000000000e+00,1.854654281107e+01
2.630000000000e+00,1.853006558606e+01
2.650000000000e+00,1.935288323327e+01
2.670000000000e+00,1.827403582476e+01
2.690000000000e+00,1.886161965650e+01
2.710000000000e+00,1.854023685357e+01
2.730000000000e+00,1.834526553268e+01
2.750000000000e+00,1.898215278947e+01
2.770000000000e+00,1.846554858771e+01
2.790000000000e+00,1.845041345701e+01
2.810000000000e+00,1.821917400487e+01
2.830000000000e+00,1.857559958792e+01
2.850000000000e+00,1.837954342614e+01
2.870000000000e+00,1.868641017588e+01
2.890000000000e+00,1.809439189624e+01
2.910000000000e+00,1.791665767991e+01
2.930000000000e+00,1.843237410713e+01
2.950000000000e+00,1.812950510038e+01
2.970000000000e+00,1.805299761052e+01
2.990000000000e+00,1.831692203209e+01
3.010000000000e+00,1.762530900988e+01
3.030000000000e+00,1.801772313273e+01
3.050000000000e+00,1.759902823274e+01
3.070000000000e+00,1.798686810178e+01
3.090000000000e+00,1.786444963054e+01
3.110000000000e+00,1.769145039209e+01
3.130000000000e+00,1.760025815960e+01
3.150000000000e+00,1.780430464596e+01
3.170000000000e+00,1.748964188953e+01
3.190000000000e+00,1.759553516109e+01
3.210000000000e+00,1.721943899934e+01
3.230000000000e+00,1.745803193225e+01
3.250000000000e+00,1.709493155989e+01
3.270000000000e+00,1.703814625853e+01
3.290000000000e+00,1.708521840493e+01
3.310000000000e+00,1.677731885140e+01
3.330000000000e+00,1.669677101311e+01
3.350000000000e+00,1.717971492407e+01
3.370000000000e+00,1.652306669547e+01
3.390000000000e+00,1.643126064902e+01
3.410000000000e+00,1.647494012952e+01
3.430000000000e+00,1.569841873791e+01
3.450000000000e+00,1.669756821528e+01
3.470000000000e+00,1.585351961023e+01
3.490000000000e+00,1.644148840763e+01
3.510000000000e+00,1.567676569465e+01
3.530000000000e+00,1.564242528721e+01
3.550000000000e+00,1.554272474585e+01
3.570000000000e+00,1.547889378613e+01
3.590000000000e+00,1.508996301161e+01
3.610000000000e+00,1.521600030687e+01
3.630000000000e+00,1.484176300546e+01
3.650000000000e+00,1.479444720316e+01
3.670000000000e+00,1.463704293628e+01
3.690000000000e+00,1.429015340508e+01
3.710000000000e+00,1.462080876549e+01
3.730000000000e+00,1.443842246440e+01
3.750000000000e+00,1.414402596241e+01
3.770000000000e+00,1.380166343730e+01
3.790000000000e+00,1.378234793376e+01
3.810000000000e+00,1.374473668247e+01
3.830000000000e+00,1.350517056737e+01
3.850000000000e+00,1.337271842817e+01
3.870000000000e+00,1.327456349327e+01
3.890000000000e+00,1.307157405872e+01
3.910000000000e+00,1.308834565025e+01
3.930000000000e+00,1.274835768178e+01
3.950000000000e+00,1.312107663000e+01
3.970000000000e+00,1.232411825347e+01
3.990000000000e+00,1.229811062571e+01
4.010000000000e+00,1.186251500997e+01
4.030000000000e+00,1.244958912131e+01
4.050000000000e+00,1.160702484490e+01
4.070000000000e+00,1.164245983368e+01
4.090000000000e+00,1.202123683837e+01
4.110000000000e+00,1.110059841590e+01
4.130000000000e+00,1.121675849979e+01
4.150000000000e+00,1.113600540074e+01
4.170000000000e+00,1.097127091880e+01
4.190000000000e+00,1.083265257508e+01
4.210000000000e+00,1.055759253951e+01
4.230000000000e+00,1.023931756663e+01
4.250000000000e+00,1.027218884872e+01
4.270000000000e+00,9.947037180003e+00
4.290000000000e+00,9.865554286341e+00
4.310000000000e+00,1.006919245667e+01
4.330000000000e+00,9.615868605855e+00
4.350000000000e+00,9.650512708052e+00
4.370000000000e+00,9.117800846002e+00
4.390000000000e+00,9.203008964263e+00
4.410000000000e+00,8.907049934150e+00
4.430000000000e+00,8.915644101439e+00
4.450000000000e+00,8.923488234970e+00
4.470000000000e+00,8.326060725997e+00
4.490000000000e+00,8.374287944079e+00
4.510000000000e+00,8.128928592682e+00
4.530000000000e+00,7.733373955272e+00
4.550000000000e+00,7.900427965817e+00
4.570000000000e+00,7.891223388979e+00
4.590000000000e+00,7.394147771627e+00
4.610000000000e+00,7.124766206931e+00
4.630000000000e+00,7.239398610002e+00
4.650000000000e+00,7.028688608800e+00
4.670000000000e+00,7.075581789980e+00
4.690000000000e+00,6.865315393731e+00
4.710000000000e+00,6.631443530691e+00
4.730000000000e+00,6.351617879681e+00
4.750000000000e+00,6.304852449851e+00
4.770000000000e+00,6.312143489313e+00
4.790000000000e+00,6.146542811779e+00
4.810000000000e+00,5.949516996855e+00
4.830000000000e+00,5.771947318018e+00
4.850000000000e+00,5.501153649243e+00
4.870000000000e+00,5.531078102812e+00
4.890000000000e+00,5.267717155738e+00
4.910000000000e+00,5.279556704085e+00
4.930000000000e+00,5.160896964736e+00
4.950000000000e+00,4.952972133985e+00
4.970000000000e+00,4.803557575331e+00
4.990000000000e+00,4.658278564032e+00
5.010000000000e+00,4.572885541897e+00
5.030000000000e+00,4.396939869202e+00
5.050000000000e+00,4.242476484812e+00
5.070000000000e+00,4.169063467211e+00
5.090000000000e+00,3.996933917689e+00
5.110000000000e+00,3.954175604718e+00
5.130000000000e+00,3.941066905845e+00
5.150000000000e+00,3.672931761851e+00
5.170000000000e+00,3.560761028782e+00
5.190000000000e+00,3.411364277703e+00
5.210000000000e+00,3.283579302323e+00
5.230000000000e+00,3.221712232392e+00
5.250000000000e+00,3.058982282294e+00
5.270000000000e+00,2.974008035117e+00
5.290000000000e+00,3.010557271328e+00
5.310000000000e+00,2.768228153780e+00
5.330000000000e+00,2.794249621738e+00
5.350000000000e+00,2.720978247330e+00
5.370000000000e+00,2.532253938906e+00
5.390000000000e+00,2.563139908659e+00
5.410000000000e+00,2.442394212748e+00
5.430000000000e+00,2.370036562782e+00
5.450000000000e+00,2.308382835726e+00
5.470000000000e+00,2.262989467545e+00
5.490000000000e+00,2.226669594478e+00
5.510000000000e+00,2.158534567131e+00
5.530000000000e+00,2.144073679178e+00
5.550000000000e+00,2.138780219260e+00
5.570000000000e+00,2.092933442643e+00
5.590000000000e+00,1.971620973395e+00
5.610000000000e+00,1.835562557510e+00
5.630000000000e+00,1.815875717397e+00
5.650000000000e+00,1.813167639501e+00
5.670000000000e+00,1.815000847745e+00
5.690000000000e+00,1.711955832797e+00
5.710000000000e+00,1.733351919804e+00
5.730000000000e+00,1.601604306189e+00
5.750000000000e+00,1.581254450984e+00
5.770000000000e+00,1.557091558306e+00
5.790000000000e+00,1.530059068535e+00
5.810000000000e+00,1.524217009311e+00
5.830000000000e+00,1.491110584734e+00
5.850000000000e+00,1.391669497448e+00
5.870000000000e+00,1.392463896972e+00
5.890000000000e+00,1.349827064830e+00
5.910000000000e+00,1.334485283107e+00
5.930000000000e+00,1.401967843474e+00
5.950000000000e+00,1.240240190955e+00
5.970000000000e+00,1.239643077871e+00
5.990000000000e+00,1.254577516678e+00
6.010000000000e+00,1.198791289865e+00
6.030000000000e+00,1.151029665059e+00
6.050000000000e+00,1.204110359157e+00
6.070000000000e+00,1.129299640757e+00
6.090000000000e+00,1.128593375970e+00
6.110000000000e+00,1.114946922245e+00
6.130000000000e+00,1.082876435638e+00
6.150000000000e+00,1.054177826328e+00
6.170000000000e+00,1.031957922300e+00
6.190000000000e+00,1.030530298967e+00
6.210000000000e+00,1.004867378416e+00
6.230000000000e+00,1.038868954645e+00
6.250000000000e+00,9.649012571902e-01
6.270000000000e+00,9.994466326626e-01
6.290000000000e+00,9.504940744526e-01
6.310000000000e+00,9.379551211715e-01
6.330000000000e+00,8.942754260831e-01
6.350000000000e+00,9.461544324215e-01
6.370000000000e+00,9.354992233560e-01
6.390000000000e+00,9.019120332652e-01
6.410000000000e+00,8.957003045761e-01
6.430000000000e+00,8.614794563021e-01
6.450000000000e+00,9.073215644149e-01
6.470000000000e+00,8.749359991415e-01
6.490000000000e+00,8.376265959262e-01
6.510000000000e+00,8.441442030250e-01
6.530000000000e+00,8.749817736769e-01
6.550000000000e+00,8.386066236423e-01
6.570000000000e+00,8.510937713581e-01
6.590000000000e+00,8.289229681560e-01
6.610000000000e+00,8.595124458951e-01
6.630000000000e+00,7.503013652743e-01
6.650000000000e+00,8.634793054847e-01
6.670000000000e+00,8.238699008158e-01
6.690000000000e+00,8.821411067739e-01
6.710000000000e+00,8.356497834282e-01
6.730000000000e+00,7.982108861611e-01
6.750000000000e+00,8.104684981642e-01
6.770000000000e+00,8.464173408491e-01
6.790000000000e+00,7.523141664190e-01
6.810000000000e+00,8.252694650775e-01
6.830000000000e+00,8.295905417109e-01
6.850000000000e+00,7.304774968701e-01
6.870000000000e+00,8.320406719339e-01
6.890000000000e+00,7.587626279860e-01
6.910000000000e+00,8.327631943819e-01
