redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.243213698562e+01
3.000000000000e-02,1.262209361231e+01
5.000000000000e-02,1.265950052040e+01
7.000000000000e-02,1.231440800453e+01
9.000000000000e-02,1.238255881970e+01
1.100000000000e-01,1.266232896515e+01
1.300000000000e-01,1.273331601134e+01
1.500000000000e-01,1.295064785881e+01
1.700000000000e-01,1.335367797187e+01
1.900000000000e-01,1.367892174178e+01
2.100000000000e-01,1.353522491556e+01
2.300000000000e-01,1.412554948698e+01
2.500000000000e-01,1.463522919173e+01
2.700000000000e-01,1.475929826768e+01
2.900000000000e-01,1.505717598019e+01
3.100000000000e-01,1.542549825164e+01
3.300000000000e-01,1.565135756988e+01
3.500000000000e-01,1.605895719632e+01
3.700000000000e-01,1.591130205196e+01
3.900000000000e-01,1.596704888018e+01
4.100000000000e-01,1.590777171027e+01
4.300000000000e-01,1.622374920381e+01
4.500000000000e-01,1.621826451328e+01
4.700000000000e-01,1.695328673406e+01
4.900000000000e-01,1.670617265302e+01
5.100000000000e-01,1.740868439016e+01
5.300000000000e-01,1.755888429577e+01
5.500000000000e-01,1.750688492090e+01
5.700000000000e-01,1.816872256999e+01
5.900000000000e-01,1.776060559117e+01
6.100000000000e-01,1.821840484869e+01
6.300000000000e-01,1.832946226153e+01
6.500000000000e-01,1.809471196037e+01
6.700000000000e-01,1.846472545866e+01
6.900000000000e-01,1.818884287355e+01
7.100000000000e-01,1.808635340786e+01
7.300000000000e-01,1.819480737687e+01
7.500000000000e-01,1.855744661329e+01
7.700000000000e-01,1.905651137290e+01
7.900000000000e-01,1.910532708515e+01
8.100000000000e-01,1.982406364201e+01
8.300000000000e-01,1.985532884202e+01
8.500000000000e-01,2.034608282530e+01
8.700000000000e-01,2.065433868068e+01
8.900000000000e-01,2.063673483744e+01
9.100000000000e-01,2.095407723613e+01
9.300000000000e-01,2.101824648358e+01
9.500000000000e-01,2.098317826354e+01
9.700000000000e-01,2.114130662036e+01
9.900000000000e-01,2.093348466738e+01
1.010000000000e+00,2.109114847495e+01
1.030000000000e+00,2.105121007136e+01
1.050000000000e+00,2.111833220029e+01
1.070000000000e+00,2.091551436537e+01
1.090000000000e+00,2.129246534527e+01
1.110000000000e+00,2.095460310416e+01
1.130000000000e+00,2.168387508158e+01
1.150000000000e+00,2.104324109220e+01
1.170000000000e+00,2.159670601496e+01
1.190000000000e+00,2.167063284742e+01
1.210000000000e+00,2.180641981987e+01
1.230000000000e+00,2.160017687592e+01
1.250000000000e+00,2.185481430037e+01
1.270000000000e+00,2.201368930230e+01
1.290000000000e+00,2.196269060959e+01
1.310000000000e+00,2.230656863959e+01
1.330000000000e+00,2.256185448978e+01
1.350000000000e+00,2.199621311561e+01
1.370000000000e+00,2.256849426179e+01
1.390000000000e+00,2.261364067339e+01
1.410000000000e+00,2.275476366712e+01
1.430000000000e+00,2.283281443537e+01
1.450000000000e+00,2.283432542359e+01
1.470000000000e+00,2.314598696390e+01
1.490000000000e+00,2.339099514283e+01
1.510000000000e+00,2.294796295112e+01
1.530000000000e+00,2.347495590969e+01
1.550000000000e+00,2.277356266941e+01
1.570000000000e+00,2.336825932045e+01
1.590000000000e+00,2.310377155709e+01
1.610000000000e+00,2.333919719727e+01
1.630000000000e+00,2.294821972908e+01
1.650000000000e+00,2.358020464702e+01
1.670000000000e+00,2.304077232966e+01
1.690000000000e+00,2.347337237637e+01
1.710000000000e+00,2.338846520269e+01
1.730000000000e+00,2.343175982364e+01
1.750000000000e+00,2.346125064935e+01
1.770000000000e+00,2.349105433958e+01
1.790000000000e+00,2.375807184414e+01
