redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.424945533256e+01
3.000000000000e-02,1.420296753804e+01
5.000000000000e-02,1.416146145013e+01
7.000000000000e-02,1.469626588991e+01
9.000000000000e-02,1.485536963514e+01
1.100000000000e-01,1.539027077861e+01
1.300000000000e-01,1.566997911368e+01
1.500000000000e-01,1.627456799528e+01
1.700000000000e-01,1.672861647956e+01
1.900000000000e-01,1.694883375545e+01
2.100000000000e-01,1.701228196787e+01
2.300000000000e-01,1.812413768709e+01
2.500000000000e-01,1.844883378406e+01
2.700000000000e-01,1.885354984781e+01
2.900000000000e-01,1.882464670324e+01
3.100000000000e-01,1.973580722422e+01
3.300000000000e-01,1.988947335807e+01
3.500000000000e-01,2.015835518713e+01
3.700000000000e-01,2.038590844924e+01
3.900000000000e-01,2.003414828765e+01
4.100000000000e-01,2.074145546926e+01
4.300000000000e-01,2.086510378198e+01
4.500000000000e-01,2.103599194279e+01
4.700000000000e-01,2.112890283010e+01
4.900000000000e-01,2.149251737410e+01
5.100000000000e-01,2.156898293882e+01
5.300000000000e-01,2.122426281962e+01
5.500000000000e-01,2.188532994160e+01
5.700000000000e-01,2.228017644144e+01
5.900000000000e-01,2.188797261173e+01
6.100000000000e-01,2.318098796344e+01
6.300000000000e-01,2.319588228868e+01
6.500000000000e-01,2.365220437116e+01
6.700000000000e-01,2.314884577982e+01
6.900000000000e-01,2.372712983485e+01
7.100000000000e-01,2.351135145706e+01
7.300000000000e-01,2.348598725611e+01
7.500000000000e-01,2.372609432464e+01
7.700000000000e-01,2.415905577827e+01
7.900000000000e-01,2.486391551781e+01
8.100000000000e-01,2.450502171685e+01
8.300000000000e-01,2.549731785620e+01
8.500000000000e-01,2.533631541674e+01
8.700000000000e-01,2.587979712004e+01
8.900000000000e-01,2.504816245969e+01
9.100000000000e-01,2.617973537089e+01
9.300000000000e-01,2.649970159239e+01
9.500000000000e-01,2.708567567045e+01
9.700000000000e-01,2.735996860195e+01
9.900000000000e-01,2.788979820483e+01
1.010000000000e+00,2.955455134721e+01
1.030000000000e+00,2.857531557118e+01
1.050000000000e+00,2.917542833687e+01
1.070000000000e+00,2.955840853655e+01
1.090000000000e+00,2.875973081687e+01
1.110000000000e+00,2.891954815377e+01
1.130000000000e+00,2.868611287172e+01
1.150000000000e+00,3.024120626420e+01
1.170000000000e+00,2.977253315171e+01
1.190000000000e+00,2.974692048751e+01
1.210000000000e+00,3.063058608148e+01
1.230000000000e+00,2.990029279648e+01
1.250000000000e+00,3.053746307414e+01
1.270000000000e+00,2.975694718790e+01
1.290000000000e+00,3.097312458891e+01
1.310000000000e+00,3.041642278294e+01
1.330000000000e+00,3.130855141660e+01
1.350000000000e+00,3.120353185903e+01
1.370000000000e+00,3.178019684389e+01
1.390000000000e+00,3.071498490882e+01
1.410000000000e+00,3.207235883223e+01
1.430000000000e+00,3.231147169426e+01
1.450000000000e+00,3.242271316464e+01
1.470000000000e+00,3.230505455802e+01
1.490000000000e+00,3.269424130533e+01
1.510000000000e+00,3.316700798653e+01
1.530000000000e+00,3.227671024229e+01
1.550000000000e+00,3.284992916482e+01
1.570000000000e+00,3.348206699228e+01
1.590000000000e+00,3.246408932488e+01
1.610000000000e+00,3.328117996373e+01
1.630000000000e+00,3.319806759547e+01
1.650000000000e+00,3.335106800585e+01
1.670000000000e+00,3.376864219132e+01
1.690000000000e+00,3.356542647622e+01
1.710000000000e+00,3.368102677820e+01
1.730000000000e+00,3.447890313508e+01
1.750000000000e+00,3.353964225281e+01
1.770000000000e+00,3.528852065832e+01
1.790000000000e+00,3.478917044888e+01
1.810000000000e+00,3.439109361430e+01
1.830000000000e+00,3.457416876757e+01
1.850000000000e+00,3.425623821152e+01
1.870000000000e+00,3.530783159295e+01
1.890000000000e+00,3.471406200745e+01
1.910000000000e+00,3.492141385533e+01
1.930000000000e+00,3.535418751811e+01
1.950000000000e+00,3.501776707421e+01
1.970000000000e+00,3.450430011382e+01
1.990000000000e+00,3.528673574308e+01
2.010000000000e+00,3.498928130411e+01
2.030000000000e+00,3.575093931578e+01
2.050000000000e+00,3.491699602003e+01
2.070000000000e+00,3.585195128688e+01
2.090000000000e+00,3.555845174619e+01
2.110000000000e+00,3.553911526824e+01
2.130000000000e+00,3.638962392106e+01
2.150000000000e+00,3.524438116413e+01
2.170000000000e+00,3.611706120252e+01
2.190000000000e+00,3.690746535112e+01
2.210000000000e+00,3.479106796281e+01
2.230000000000e+00,3.643198534864e+01
2.250000000000e+00,3.555392352349e+01
2.270000000000e+00,3.614930937003e+01
2.290000000000e+00,3.524511998061e+01
2.310000000000e+00,3.605315724401e+01
2.330000000000e+00,3.587398689014e+01
2.350000000000e+00,3.555641914431e+01
2.370000000000e+00,3.605355184579e+01
2.390000000000e+00,3.644581994742e+01
2.410000000000e+00,3.598531481680e+01
2.430000000000e+00,3.655287530037e+01
2.450000000000e+00,3.602347900336e+01
2.470000000000e+00,3.583854016491e+01
2.490000000000e+00,3.608620950645e+01
2.510000000000e+00,3.543529319418e+01
2.530000000000e+00,3.704040503208e+01
2.550000000000e+00,3.564336453168e+01
2.570000000000e+00,3.574943609796e+01
2.590000000000e+00,3.620509681468e+01
2.610000000000e+00,3.629032499191e+01
2.630000000000e+00,3.646981239783e+01
2.650000000000e+00,3.612188327686e+01
2.670000000000e+00,3.623647258738e+01
2.690000000000e+00,3.648777670530e+01
2.710000000000e+00,3.636582796512e+01
2.730000000000e+00,3.628777214681e+01
2.750000000000e+00,3.741840365141e+01
2.770000000000e+00,3.673112603561e+01
2.790000000000e+00,3.683182689448e+01
2.810000000000e+00,3.729724636716e+01
2.830000000000e+00,3.823626278657e+01
2.850000000000e+00,3.699841024075e+01
2.870000000000e+00,3.738946453487e+01
2.890000000000e+00,3.841335852810e+01
2.910000000000e+00,3.746605882046e+01
2.930000000000e+00,3.829834030564e+01
2.950000000000e+00,3.715945961437e+01
2.970000000000e+00,3.800554221651e+01
2.990000000000e+00,3.815738571687e+01
3.010000000000e+00,3.803396412957e+01
3.030000000000e+00,3.782249354018e+01
3.050000000000e+00,3.808145998079e+01
3.070000000000e+00,3.791737069140e+01
3.090000000000e+00,3.826898802466e+01
3.110000000000e+00,3.779921078600e+01
3.130000000000e+00,3.797719397798e+01
3.150000000000e+00,3.857553322375e+01
3.170000000000e+00,3.793938943165e+01
3.190000000000e+00,3.801661325712e+01
3.210000000000e+00,3.814744229707e+01
3.230000000000e+00,3.840536531888e+01
3.250000000000e+00,3.746273014710e+01
3.270000000000e+00,3.775897005119e+01
3.290000000000e+00,3.768311026979e+01
3.310000000000e+00,3.760770373379e+01
3.330000000000e+00,3.784902666986e+01
3.350000000000e+00,3.785504186876e+01
3.370000000000e+00,3.673540901218e+01
3.390000000000e+00,3.790752692058e+01
