redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,3.243177867012e+01
3.000000000000e-02,3.402671525553e+01
5.000000000000e-02,3.578781403959e+01
7.000000000000e-02,3.674382035051e+01
9.000000000000e-02,3.855037926043e+01
1.100000000000e-01,3.985004558261e+01
1.300000000000e-01,4.106970579630e+01
1.500000000000e-01,4.224056841634e+01
1.700000000000e-01,4.351057381507e+01
1.900000000000e-01,4.464980243676e+01
2.100000000000e-01,4.591870118735e+01
2.300000000000e-01,4.622118029596e+01
2.500000000000e-01,4.799529674169e+01
2.700000000000e-01,4.885044571079e+01
2.900000000000e-01,5.012107437922e+01
3.100000000000e-01,5.235716358505e+01
3.300000000000e-01,5.324422709803e+01
3.500000000000e-01,5.415757350740e+01
3.700000000000e-01,5.633398311880e+01
3.900000000000e-01,5.788466408392e+01
4.100000000000e-01,5.844209706499e+01
4.300000000000e-01,5.994506970739e+01
4.500000000000e-01,6.195387093387e+01
4.700000000000e-01,6.302756825015e+01
4.900000000000e-01,6.472856818369e+01
5.100000000000e-01,6.674079939683e+01
5.300000000000e-01,6.721476866353e+01
5.500000000000e-01,6.882704539344e+01
5.700000000000e-01,6.974757999554e+01
5.900000000000e-01,7.194617515140e+01
6.100000000000e-01,7.316591734044e+01
6.300000000000e-01,7.440138999484e+01
6.500000000000e-01,7.544343630839e+01
6.700000000000e-01,7.785532703137e+01
6.900000000000e-01,7.784738385640e+01
7.100000000000e-01,7.933013986598e+01
7.300000000000e-01,8.049868511523e+01
7.500000000000e-01,8.223752117277e+01
7.700000000000e-01,8.376318113332e+01
7.900000000000e-01,8.515072698015e+01
8.100000000000e-01,8.644227322779e+01
8.300000000000e-01,8.717097422376e+01
8.500000000000e-01,8.960186372431e+01
8.700000000000e-01,9.105488694956e+01
8.900000000000e-01,9.094091457543e+01
9.100000000000e-01,9.280546898323e+01
9.300000000000e-01,9.372075761026e+01
9.500000000000e-01,9.586579680180e+01
9.700000000000e-01,9.570250149861e+01
9.900000000000e-01,9.697397866721e+01
1.010000000000e+00,9.826269012941e+01
1.030000000000e+00,9.938696317708e+01
1.050000000000e+00,9.983644452305e+01
1.070000000000e+00,9.957557963726e+01
1.090000000000e+00,9.970241154549e+01
1.110000000000e+00,1.027793942973e+02
1.130000000000e+00,1.032044660014e+02
1.150000000000e+00,1.030815682602e+02
1.170000000000e+00,1.036588409793e+02
1.190000000000e+00,1.045318636865e+02
1.210000000000e+00,1.048631986265e+02
1.230000000000e+00,1.071425080995e+02
1.250000000000e+00,1.063995752836e+02
1.270000000000e+00,1.078048407264e+02
1.290000000000e+00,1.072684487258e+02
1.310000000000e+00,1.089549968782e+02
1.330000000000e+00,1.092289599349e+02
1.350000000000e+00,1.097437868621e+02
1.370000000000e+00,1.092860720051e+02
1.390000000000e+00,1.094371633131e+02
1.410000000000e+00,1.090732459832e+02
1.430000000000e+00,1.109500815286e+02
1.450000000000e+00,1.102299603892e+02
1.470000000000e+00,1.105488982405e+02
1.490000000000e+00,1.101611181997e+02
1.510000000000e+00,1.115112318077e+02
1.530000000000e+00,1.101301111102e+02
1.550000000000e+00,1.100412812360e+02
1.570000000000e+00,1.101511078209e+02
1.590000000000e+00,1.115261408623e+02
1.610000000000e+00,1.109969017697e+02
1.630000000000e+00,1.092811524634e+02
1.650000000000e+00,1.121600150089e+02
1.670000000000e+00,1.091418695780e+02
1.690000000000e+00,1.113471175906e+02
1.710000000000e+00,1.104191653918e+02
1.730000000000e+00,1.078406635236e+02
1.750000000000e+00,1.097404846834e+02
1.770000000000e+00,1.107117171358e+02
1.790000000000e+00,1.099250428913e+02
1.810000000000e+00,1.083671766133e+02
1.830000000000e+00,1.084395422212e+02
1.850000000000e+00,1.082074805026e+02
1.870000000000e+00,1.075223903455e+02
1.890000000000e+00,1.075544533290e+02
1.910000000000e+00,1.084108600035e+02
1.930000000000e+00,1.066536257976e+02
1.950000000000e+00,1.056001370353e+02
1.970000000000e+00,1.039996436501e+02
1.990000000000e+00,1.038670128446e+02
2.010000000000e+00,1.040375941144e+02
2.030000000000e+00,1.036130258067e+02
2.050000000000e+00,1.013634072203e+02
2.070000000000e+00,1.009468659124e+02
2.090000000000e+00,1.014236003240e+02
2.110000000000e+00,9.876433235908e+01
2.130000000000e+00,9.796664734850e+01
2.150000000000e+00,9.881481922058e+01
2.170000000000e+00,9.663485689556e+01
2.190000000000e+00,9.653296499658e+01
2.210000000000e+00,9.484386098929e+01
2.230000000000e+00,9.457949671749e+01
2.250000000000e+00,9.436198882262e+01
2.270000000000e+00,9.169747074931e+01
2.290000000000e+00,9.043126676079e+01
2.310000000000e+00,8.967663402868e+01
2.330000000000e+00,8.907503988193e+01
2.350000000000e+00,8.742704902610e+01
2.370000000000e+00,8.691520989099e+01
2.390000000000e+00,8.466570895678e+01
2.410000000000e+00,8.396759074541e+01
2.430000000000e+00,8.354720237208e+01
2.450000000000e+00,8.302220320126e+01
2.470000000000e+00,8.118054999877e+01
2.490000000000e+00,8.073949143625e+01
2.510000000000e+00,8.027184024862e+01
2.530000000000e+00,7.668163388581e+01
2.550000000000e+00,7.721330299317e+01
2.570000000000e+00,7.606689750178e+01
2.590000000000e+00,7.520863786239e+01
2.610000000000e+00,7.478955016592e+01
2.630000000000e+00,7.259075036627e+01
2.650000000000e+00,7.124054331967e+01
2.670000000000e+00,7.166006902207e+01
2.690000000000e+00,6.997614489537e+01
2.710000000000e+00,6.831883516287e+01
2.730000000000e+00,6.763620446950e+01
2.750000000000e+00,6.702216855950e+01
2.770000000000e+00,6.609364654293e+01
