redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,7.201705687207e+00
3.000000000000e-02,7.418767862267e+00
5.000000000000e-02,7.695610591325e+00
7.000000000000e-02,7.549606341735e+00
9.000000000000e-02,7.747836601967e+00
1.100000000000e-01,7.573834126909e+00
1.300000000000e-01,7.576717964837e+00
1.500000000000e-01,7.471944320863e+00
1.700000000000e-01,7.846726611272e+00
1.900000000000e-01,7.994324454887e+00
2.100000000000e-01,7.651722913144e+00
2.300000000000e-01,7.904718759937e+00
2.500000000000e-01,8.088786443432e+00
2.700000000000e-01,8.577622812833e+00
2.900000000000e-01,8.730369437701e+00
3.100000000000e-01,8.686111685619e+00
3.300000000000e-01,8.807743326411e+00
3.500000000000e-01,9.002041333549e+00
3.700000000000e-01,9.277124111078e+00
3.900000000000e-01,9.193000524103e+00
4.100000000000e-01,9.057684979517e+00
4.300000000000e-01,9.790423293247e+00
4.500000000000e-01,9.652415988808e+00
4.700000000000e-01,9.775067468677e+00
4.900000000000e-01,9.895792520450e+00
5.100000000000e-01,1.017032334228e+01
5.300000000000e-01,1.020291873726e+01
5.500000000000e-01,1.002403215540e+01
5.700000000000e-01,1.067183641283e+01
5.900000000000e-01,1.041398513341e+01
6.100000000000e-01,1.092243065235e+01
6.300000000000e-01,1.108497650525e+01
6.500000000000e-01,1.103218617249e+01
6.700000000000e-01,1.146247382243e+01
6.900000000000e-01,1.185886077644e+01
7.100000000000e-01,1.166437891204e+01
7.300000000000e-01,1.188579420840e+01
7.500000000000e-01,1.219225134129e+01
7.700000000000e-01,1.226179624590e+01
7.900000000000e-01,1.303516020490e+01
8.100000000000e-01,1.278948054068e+01
8.300000000000e-01,1.310481815287e+01
8.500000000000e-01,1.286476362927e+01
8.700000000000e-01,1.326184343181e+01
8.900000000000e-01,1.320784389797e+01
9.100000000000e-01,1.323525727070e+01
9.300000000000e-01,1.373061136319e+01
9.500000000000e-01,1.375863774884e+01
9.700000000000e-01,1.342662183011e+01
9.900000000000e-01,1.369064340638e+01
1.010000000000e+00,1.358994716494e+01
1.030000000000e+00,1.375206277688e+01
1.050000000000e+00,1.404205956628e+01
1.070000000000e+00,1.403115077788e+01
1.090000000000e+00,1.416073234276e+01
1.110000000000e+00,1.428230468081e+01
1.130000000000e+00,1.432091708994e+01
1.150000000000e+00,1.445321663935e+01
1.170000000000e+00,1.446469142076e+01
1.190000000000e+00,1.468853722915e+01
1.210000000000e+00,1.434325887558e+01
1.230000000000e+00,1.467841989240e+01
1.250000000000e+00,1.465700091541e+01
1.270000000000e+00,1.477267115041e+01
1.290000000000e+00,1.512027929785e+01
1.310000000000e+00,1.483169636711e+01
1.330000000000e+00,1.480374293741e+01
1.350000000000e+00,1.486155745474e+01
1.370000000000e+00,1.543806228317e+01
1.390000000000e+00,1.510212029902e+01
1.410000000000e+00,1.535969384575e+01
1.430000000000e+00,1.496342013145e+01
1.450000000000e+00,1.574092912191e+01
1.470000000000e+00,1.466801603006e+01
1.490000000000e+00,1.517393980363e+01
1.510000000000e+00,1.543366074509e+01
1.530000000000e+00,1.562199928370e+01
1.550000000000e+00,1.529789061562e+01
1.570000000000e+00,1.491743620294e+01
1.590000000000e+00,1.552909275115e+01
1.610000000000e+00,1.529547084800e+01
1.630000000000e+00,1.563315267564e+01
1.650000000000e+00,1.534732771910e+01
1.670000000000e+00,1.549585414075e+01
