redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,3.239141456026e-01
3.000000000000e-02,3.392767762176e-01
5.000000000000e-02,3.620898153251e-01
7.000000000000e-02,3.473572924854e-01
9.000000000000e-02,3.437395313881e-01
1.100000000000e-01,3.452584285332e-01
1.300000000000e-01,3.216396328860e-01
1.500000000000e-01,2.885154019954e-01
1.700000000000e-01,2.836572553045e-01
1.900000000000e-01,3.106498700235e-01
2.100000000000e-01,3.192261133265e-01
2.300000000000e-01,3.420799316707e-01
2.500000000000e-01,2.828913357770e-01
2.700000000000e-01,2.631300482047e-01
2.900000000000e-01,2.839596079915e-01
3.100000000000e-01,2.839555348912e-01
3.300000000000e-01,3.046696043694e-01
3.500000000000e-01,3.114248509795e-01
3.700000000000e-01,3.041395497668e-01
3.900000000000e-01,2.557487292079e-01
4.100000000000e-01,2.142489384948e-01
4.300000000000e-01,1.620106259643e-01
4.500000000000e-01,1.636132423902e-01
4.700000000000e-01,1.896149323015e-01
4.900000000000e-01,2.227086611780e-01
5.100000000000e-01,2.639973256456e-01
5.300000000000e-01,2.777540302679e-01
5.500000000000e-01,3.538637679897e-01
5.700000000000e-01,3.518750130163e-01
5.900000000000e-01,3.906739399535e-01
6.100000000000e-01,3.800654610729e-01
6.300000000000e-01,4.093890727076e-01
6.500000000000e-01,3.818466198597e-01
6.700000000000e-01,5.036871055406e-01
6.900000000000e-01,5.023832012006e-01
7.100000000000e-01,5.535914076744e-01
7.300000000000e-01,6.148247570643e-01
7.500000000000e-01,6.954506284861e-01
7.700000000000e-01,7.616515908250e-01
7.900000000000e-01,7.917638000581e-01
8.100000000000e-01,8.624671357852e-01
8.300000000000e-01,8.692356556650e-01
8.500000000000e-01,9.207171026237e-01
8.700000000000e-01,8.782204705764e-01
8.900000000000e-01,8.436145031225e-01
9.100000000000e-01,8.203174120377e-01
9.300000000000e-01,8.219337007207e-01
9.500000000000e-01,8.442882253127e-01
9.700000000000e-01,7.821931967496e-01
9.900000000000e-01,8.736766797427e-01
1.010000000000e+00,7.750702351869e-01
1.030000000000e+00,8.514878970329e-01
1.050000000000e+00,8.080657640037e-01
1.070000000000e+00,8.459592893565e-01
1.090000000000e+00,7.704762146282e-01
1.110000000000e+00,8.431439031598e-01
1.130000000000e+00,7.118510006391e-01
1.150000000000e+00,8.209230467839e-01
1.170000000000e+00,6.823232077667e-01
1.190000000000e+00,7.710307546265e-01
1.210000000000e+00,6.782136158492e-01
1.230000000000e+00,8.592959288387e-01
1.250000000000e+00,6.554979232597e-01
1.270000000000e+00,7.339280529940e-01
1.290000000000e+00,6.355069659323e-01
1.310000000000e+00,6.868419383227e-01
1.330000000000e+00,8.020849955715e-01
1.350000000000e+00,6.347056762762e-01
1.370000000000e+00,6.792871398810e-01
1.390000000000e+00,5.847856513792e-01
1.410000000000e+00,6.967512362348e-01
1.430000000000e+00,7.572132332518e-01
1.450000000000e+00,5.714073965474e-01
1.470000000000e+00,7.163787362475e-01
1.490000000000e+00,7.242075834742e-01
1.510000000000e+00,7.187029714395e-01
1.530000000000e+00,7.340686433092e-01
1.550000000000e+00,7.203312330928e-01
1.570000000000e+00,7.326500835285e-01
1.590000000000e+00,8.031777766753e-01
1.610000000000e+00,9.512084270279e-01
1.630000000000e+00,8.653540927093e-01
1.650000000000e+00,7.995095235118e-01
1.670000000000e+00,9.196160385847e-01
1.690000000000e+00,1.025630014891e+00
1.710000000000e+00,8.949085820761e-01
1.730000000000e+00,9.429683906545e-01
1.750000000000e+00,8.386343774272e-01
1.770000000000e+00,1.019078178371e+00
1.790000000000e+00,8.470517012459e-01
1.810000000000e+00,9.079401396901e-01
1.830000000000e+00,9.677059031374e-01
1.850000000000e+00,7.664824942768e-01
1.870000000000e+00,8.499168502964e-01
1.890000000000e+00,8.068125307068e-01
1.910000000000e+00,9.771064588263e-01
1.930000000000e+00,7.660501031242e-01
1.950000000000e+00,7.675093702743e-01
1.970000000000e+00,9.786222566549e-01
1.990000000000e+00,8.710198468583e-01
