redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.309171693472e+01
3.000000000000e-02,1.352419458165e+01
5.000000000000e-02,1.389263551812e+01
7.000000000000e-02,1.457014448286e+01
9.000000000000e-02,1.514410227275e+01
1.100000000000e-01,1.592224560576e+01
1.300000000000e-01,1.660957355112e+01
1.500000000000e-01,1.737225516933e+01
1.700000000000e-01,1.800289608719e+01
1.900000000000e-01,1.848823090739e+01
2.100000000000e-01,1.908554580277e+01
2.300000000000e-01,1.951226804216e+01
2.500000000000e-01,2.018399044732e+01
2.700000000000e-01,2.087419813650e+01
2.900000000000e-01,2.149909125168e+01
3.100000000000e-01,2.217787602930e+01
3.300000000000e-01,2.323954204501e+01
3.500000000000e-01,2.352696698781e+01
3.700000000000e-01,2.436739321935e+01
3.900000000000e-01,2.491911797573e+01
4.100000000000e-01,2.577060291268e+01
4.300000000000e-01,2.658151166884e+01
4.500000000000e-01,2.712672587563e+01
4.700000000000e-01,2.801011165117e+01
4.900000000000e-01,2.891441364451e+01
5.100000000000e-01,2.962207489991e+01
5.300000000000e-01,3.056829598091e+01
5.500000000000e-01,3.132221386000e+01
5.700000000000e-01,3.253509342377e+01
5.900000000000e-01,3.332752491039e+01
6.100000000000e-01,3.403963666378e+01
6.300000000000e-01,3.546248358594e+01
6.500000000000e-01,3.593807648744e+01
6.700000000000e-01,3.699967171136e+01
6.900000000000e-01,3.785695685811e+01
7.100000000000e-01,3.864846643689e+01
7.300000000000e-01,3.972834100308e+01
7.500000000000e-01,4.062039768475e+01
7.700000000000e-01,4.193846250473e+01
7.900000000000e-01,4.267825158259e+01
8.100000000000e-01,4.395674725072e+01
8.300000000000e-01,4.478922974906e+01
8.500000000000e-01,4.615679583253e+01
8.700000000000e-01,4.705765501929e+01
8.900000000000e-01,4.822546670027e+01
9.100000000000e-01,4.983643945115e+01
9.300000000000e-01,5.057120932275e+01
9.500000000000e-01,5.232796631783e+01
9.700000000000e-01,5.314807137532e+01
9.900000000000e-01,5.444215847266e+01
1.010000000000e+00,5.565761199181e+01
1.030000000000e+00,5.690742162288e+01
1.050000000000e+00,5.787717473332e+01
1.070000000000e+00,5.893607164617e+01
1.090000000000e+00,6.043820378492e+01
1.110000000000e+00,6.157565497026e+01
1.130000000000e+00,6.280088905983e+01
1.150000000000e+00,6.362390056880e+01
1.170000000000e+00,6.499896096724e+01
1.190000000000e+00,6.635478681870e+01
1.210000000000e+00,6.713871177211e+01
1.230000000000e+00,6.849667347095e+01
1.250000000000e+00,6.957348232239e+01
1.270000000000e+00,7.042145220691e+01
1.290000000000e+00,7.189734775604e+01
1.310000000000e+00,7.329603474968e+01
1.330000000000e+00,7.443606766956e+01
1.350000000000e+00,7.525327680681e+01
1.370000000000e+00,7.686363909490e+01
1.390000000000e+00,7.784480957797e+01
