redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,3.902756101959e+00
3.000000000000e-02,4.131783580957e+00
5.000000000000e-02,4.210081217637e+00
7.000000000000e-02,4.177752448686e+00
9.000000000000e-02,4.288694630605e+00
1.100000000000e-01,4.320390940518e+00
1.300000000000e-01,4.508654639996e+00
1.500000000000e-01,4.225326691314e+00
1.700000000000e-01,4.363991679731e+00
1.900000000000e-01,4.361959650531e+00
2.100000000000e-01,4.499267694518e+00
2.300000000000e-01,4.508334737359e+00
2.500000000000e-01,4.572969261888e+00
2.700000000000e-01,4.608557157044e+00
2.900000000000e-01,4.777385081884e+00
3.100000000000e-01,4.928253250962e+00
3.300000000000e-01,4.855595033172e+00
3.500000000000e-01,4.978594782452e+00
3.700000000000e-01,5.169916014462e+00
3.900000000000e-01,5.532177537495e+00
4.100000000000e-01,5.496073295139e+00
4.300000000000e-01,5.637432367588e+00
4.500000000000e-01,5.641876678556e+00
4.700000000000e-01,5.542004920000e+00
4.900000000000e-01,5.496528839569e+00
5.100000000000e-01,5.449959781634e+00
5.300000000000e-01,5.368731767497e+00
5.500000000000e-01,5.114312298857e+00
5.700000000000e-01,5.002423959702e+00
5.900000000000e-01,5.060162951965e+00
6.100000000000e-01,4.965758747490e+00
6.300000000000e-01,5.199578720748e+00
6.500000000000e-01,5.345392400156e+00
6.700000000000e-01,5.499833212699e+00
6.900000000000e-01,5.721016998543e+00
7.100000000000e-01,5.746203314749e+00
7.300000000000e-01,6.010764338264e+00
7.500000000000e-01,6.119093412458e+00
7.700000000000e-01,6.216510280197e+00
7.900000000000e-01,6.511625232700e+00
8.100000000000e-01,6.564826437660e+00
8.300000000000e-01,6.898096694257e+00
8.500000000000e-01,6.865785107505e+00
8.700000000000e-01,7.089504179701e+00
8.900000000000e-01,7.230340260759e+00
9.100000000000e-01,7.300323696209e+00
9.300000000000e-01,7.374369317404e+00
9.500000000000e-01,7.632106838782e+00
9.700000000000e-01,7.451116803009e+00
9.900000000000e-01,7.668886637375e+00
1.010000000000e+00,7.706693479656e+00
1.030000000000e+00,7.746264662817e+00
1.050000000000e+00,7.821822009719e+00
1.070000000000e+00,7.732265224492e+00
1.090000000000e+00,7.822085865747e+00
1.110000000000e+00,8.137821971230e+00
1.130000000000e+00,7.863732565932e+00
1.150000000000e+00,8.134046058016e+00
1.170000000000e+00,8.350064773003e+00
1.190000000000e+00,8.122969681365e+00
1.210000000000e+00,8.561637822010e+00
1.230000000000e+00,8.405915959903e+00
1.250000000000e+00,8.283868750704e+00
1.270000000000e+00,8.516841515442e+00
1.290000000000e+00,8.419803154803e+00
1.310000000000e+00,8.553386950374e+00
1.330000000000e+00,8.424619775110e+00
1.350000000000e+00,8.343493062473e+00
1.370000000000e+00,8.683095642490e+00
1.390000000000e+00,8.552277920227e+00
1.410000000000e+00,8.559606123079e+00
1.430000000000e+00,8.602826203600e+00
1.450000000000e+00,8.732043944535e+00
1.470000000000e+00,8.640845814518e+00
1.490000000000e+00,8.612105784110e+00
1.510000000000e+00,8.873689756960e+00
1.530000000000e+00,8.722730763662e+00
1.550000000000e+00,8.713621830994e+00
1.570000000000e+00,8.817067758814e+00
1.590000000000e+00,8.990066655940e+00
1.610000000000e+00,9.077353352012e+00
1.630000000000e+00,8.960149459663e+00
1.650000000000e+00,9.057301506207e+00
1.670000000000e+00,9.144858610934e+00
1.690000000000e+00,9.141072016494e+00
1.710000000000e+00,9.304150550052e+00
1.730000000000e+00,9.242193470989e+00
1.750000000000e+00,9.492839613038e+00
1.770000000000e+00,9.526695861371e+00
1.790000000000e+00,9.448191521866e+00
1.810000000000e+00,9.536324183285e+00
1.830000000000e+00,9.770845561002e+00
1.850000000000e+00,9.626769351779e+00
1.870000000000e+00,9.972752896075e+00
1.890000000000e+00,9.737264510881e+00
1.910000000000e+00,1.015490224329e+01
1.930000000000e+00,9.835192890855e+00
1.950000000000e+00,9.898267345124e+00
1.970000000000e+00,1.010159085134e+01
1.990000000000e+00,1.026586875655e+01
2.010000000000e+00,9.861050685630e+00
2.030000000000e+00,9.972404493552e+00
2.050000000000e+00,9.940088479509e+00
2.070000000000e+00,9.954466203669e+00
2.090000000000e+00,1.001164700237e+01
2.110000000000e+00,9.885659164402e+00
2.130000000000e+00,1.044325259760e+01
2.150000000000e+00,9.996993534556e+00
2.170000000000e+00,1.022843108444e+01
2.190000000000e+00,1.018452507663e+01
2.210000000000e+00,1.001031534933e+01
2.230000000000e+00,1.021030501513e+01
2.250000000000e+00,1.018994825084e+01
2.270000000000e+00,1.023432945111e+01
2.290000000000e+00,1.035117536361e+01
2.310000000000e+00,1.020539645174e+01
2.330000000000e+00,1.041928041174e+01
2.350000000000e+00,1.023797961338e+01
2.370000000000e+00,1.034076579396e+01
2.390000000000e+00,1.031659900309e+01
2.410000000000e+00,1.089888699523e+01
2.430000000000e+00,1.058245872329e+01
2.450000000000e+00,1.077976281794e+01
2.470000000000e+00,1.055496615539e+01
2.490000000000e+00,1.143913009698e+01
2.510000000000e+00,1.106114474135e+01
2.530000000000e+00,1.078952867006e+01
2.550000000000e+00,1.063286532837e+01
2.570000000000e+00,1.029610535479e+01
2.590000000000e+00,1.058911737818e+01
2.610000000000e+00,1.059941533301e+01
2.630000000000e+00,1.043471851900e+01
2.650000000000e+00,1.028287103549e+01
2.670000000000e+00,1.055768313766e+01
2.690000000000e+00,1.037486494602e+01
2.710000000000e+00,1.039529049885e+01
2.730000000000e+00,1.069236456183e+01
2.750000000000e+00,1.073080671351e+01
2.770000000000e+00,1.086460858833e+01
2.790000000000e+00,1.023041145671e+01
2.810000000000e+00,1.051738631539e+01
2.830000000000e+00,1.022005130420e+01
2.850000000000e+00,1.061922270853e+01
2.870000000000e+00,1.044792241169e+01
2.890000000000e+00,1.019100155055e+01
2.910000000000e+00,1.047742301004e+01
2.930000000000e+00,1.001475004056e+01
2.950000000000e+00,1.017499058284e+01
2.970000000000e+00,1.011780320608e+01
2.990000000000e+00,1.011777160888e+01
3.010000000000e+00,9.917181142252e+00
3.030000000000e+00,1.003780077363e+01
3.050000000000e+00,1.022269396943e+01
3.070000000000e+00,1.004609740981e+01
3.090000000000e+00,9.859913245620e+00
3.110000000000e+00,1.027064147216e+01
3.130000000000e+00,9.547415712998e+00
3.150000000000e+00,1.005818674680e+01
3.170000000000e+00,9.600989589293e+00
3.190000000000e+00,9.597254619701e+00
3.210000000000e+00,9.926487639500e+00
3.230000000000e+00,9.363430001466e+00
3.250000000000e+00,9.601812318785e+00
3.270000000000e+00,9.406050106264e+00
3.290000000000e+00,9.483383566460e+00
3.310000000000e+00,9.316287734336e+00
3.330000000000e+00,9.730475600170e+00
3.350000000000e+00,8.960598092229e+00
3.370000000000e+00,9.385733237787e+00
3.390000000000e+00,9.102296770695e+00
3.410000000000e+00,9.283648538348e+00
3.430000000000e+00,9.079869904683e+00
3.450000000000e+00,8.897038145169e+00
3.470000000000e+00,9.153982547636e+00
3.490000000000e+00,8.976754477866e+00
3.510000000000e+00,9.037942808750e+00
3.530000000000e+00,8.614697421047e+00
3.550000000000e+00,8.741163229173e+00
3.570000000000e+00,8.785855939757e+00
3.590000000000e+00,8.746271572466e+00
3.610000000000e+00,8.599598433168e+00
3.630000000000e+00,8.622142755156e+00
3.650000000000e+00,8.489454057382e+00
3.670000000000e+00,8.361302771430e+00
3.690000000000e+00,8.589545594634e+00
3.710000000000e+00,8.406620407697e+00
3.730000000000e+00,8.421894468017e+00
3.750000000000e+00,8.185032270889e+00
3.770000000000e+00,8.276751149084e+00
3.790000000000e+00,8.248713517189e+00
3.810000000000e+00,8.225973689051e+00
3.830000000000e+00,8.015743772798e+00
3.850000000000e+00,8.250396247736e+00
3.870000000000e+00,8.400919325646e+00
3.890000000000e+00,7.832726439051e+00
3.910000000000e+00,7.815924858129e+00
3.930000000000e+00,8.055349882269e+00
3.950000000000e+00,7.991360403318e+00
3.970000000000e+00,8.029188758800e+00
3.990000000000e+00,7.904099791437e+00
4.010000000000e+00,7.696485981936e+00
4.030000000000e+00,7.918414814829e+00
4.050000000000e+00,7.762430128197e+00
4.070000000000e+00,7.741211095472e+00
4.090000000000e+00,7.892127654638e+00
4.110000000000e+00,7.552619209372e+00
4.130000000000e+00,7.864525419304e+00
4.150000000000e+00,7.709671812792e+00
4.170000000000e+00,7.724050738474e+00
4.190000000000e+00,7.644649085517e+00
4.210000000000e+00,7.686326376399e+00
4.230000000000e+00,7.419046885046e+00
4.250000000000e+00,7.616748167651e+00
4.270000000000e+00,7.393304759343e+00
4.290000000000e+00,7.686128955858e+00
4.310000000000e+00,7.520904302326e+00
4.330000000000e+00,7.611201491100e+00
4.350000000000e+00,7.235762085355e+00
4.370000000000e+00,7.534486825184e+00
4.390000000000e+00,7.443531199192e+00
4.410000000000e+00,7.404792866727e+00
4.430000000000e+00,7.267056500770e+00
4.450000000000e+00,7.485751556733e+00
4.470000000000e+00,6.998809752366e+00
4.490000000000e+00,7.251137640989e+00
4.510000000000e+00,7.215281635706e+00
4.530000000000e+00,7.261543629856e+00
4.550000000000e+00,7.178399325753e+00
4.570000000000e+00,7.127878974837e+00
