redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.401196954300e+02
3.000000000000e-02,1.410565941663e+02
5.000000000000e-02,1.427334145724e+02
7.000000000000e-02,1.453193738630e+02
9.000000000000e-02,1.473813392707e+02
1.100000000000e-01,1.490577451009e+02
1.300000000000e-01,1.523588904393e+02
1.500000000000e-01,1.544274593225e+02
1.700000000000e-01,1.562256742288e+02
1.900000000000e-01,1.585321324441e+02
2.100000000000e-01,1.613397574224e+02
2.300000000000e-01,1.637597813547e+02
2.500000000000e-01,1.662533956862e+02
2.700000000000e-01,1.669216077234e+02
2.900000000000e-01,1.700875211415e+02
3.100000000000e-01,1.714454850804e+02
3.300000000000e-01,1.730584071931e+02
3.500000000000e-01,1.765329592466e+02
3.700000000000e-01,1.770593488258e+02
3.900000000000e-01,1.785876888452e+02
4.100000000000e-01,1.796038712845e+02
4.300000000000e-01,1.817704606131e+02
4.500000000000e-01,1.822006584194e+02
4.700000000000e-01,1.844862377208e+02
4.900000000000e-01,1.832434576572e+02
5.100000000000e-01,1.848602465530e+02
5.300000000000e-01,1.868547491648e+02
5.500000000000e-01,1.868165736424e+02
5.700000000000e-01,1.873846068624e+02
5.900000000000e-01,1.866747005594e+02
6.100000000000e-01,1.901089364353e+02
6.300000000000e-01,1.876841744285e+02
6.500000000000e-01,1.906249329323e+02
6.700000000000e-01,1.910977727642e+02
6.900000000000e-01,1.911615976269e+02
7.100000000000e-01,1.928273058305e+02
7.300000000000e-01,1.923359635933e+02
7.500000000000e-01,1.941826537948e+02
7.700000000000e-01,1.938527017496e+02
7.900000000000e-01,1.952970867403e+02
8.100000000000e-01,1.935285291773e+02
8.300000000000e-01,1.944315005174e+02
8.500000000000e-01,1.944997607708e+02
8.700000000000e-01,1.941204123461e+02
8.900000000000e-01,1.937573159463e+02
9.100000000000e-01,1.939454469626e+02
9.300000000000e-01,1.934213405846e+02
9.500000000000e-01,1.939707271242e+02
9.700000000000e-01,1.911987474973e+02
9.900000000000e-01,1.927844869768e+02
1.010000000000e+00,1.903445845269e+02
1.030000000000e+00,1.899731833260e+02
1.050000000000e+00,1.891955839938e+02
1.070000000000e+00,1.883644603391e+02
1.090000000000e+00,1.865612461984e+02
1.110000000000e+00,1.850058180580e+02
1.130000000000e+00,1.854318329122e+02
1.150000000000e+00,1.827305421048e+02
1.170000000000e+00,1.817317572763e+02
1.190000000000e+00,1.799551348411e+02
1.210000000000e+00,1.805155113997e+02
1.230000000000e+00,1.777653306901e+02
1.250000000000e+00,1.764271117971e+02
1.270000000000e+00,1.743248226469e+02
1.290000000000e+00,1.740516093633e+02
1.310000000000e+00,1.695294534048e+02
1.330000000000e+00,1.715816221612e+02
1.350000000000e+00,1.687418917038e+02
1.370000000000e+00,1.669428506104e+02
1.390000000000e+00,1.665920144751e+02
1.410000000000e+00,1.652329047125e+02
1.430000000000e+00,1.638271457537e+02
1.450000000000e+00,1.623426038502e+02
1.470000000000e+00,1.615688618575e+02
1.490000000000e+00,1.607438905101e+02
1.510000000000e+00,1.600523703368e+02
1.530000000000e+00,1.571798309512e+02
1.550000000000e+00,1.594389559915e+02
1.570000000000e+00,1.562182838649e+02
1.590000000000e+00,1.557702683462e+02
1.610000000000e+00,1.548315420463e+02
1.630000000000e+00,1.543700118392e+02
1.650000000000e+00,1.530724830434e+02
1.670000000000e+00,1.510240401583e+02
1.690000000000e+00,1.515243342242e+02
1.710000000000e+00,1.487908590469e+02
1.730000000000e+00,1.485711403973e+02
1.750000000000e+00,1.463220020828e+02
1.770000000000e+00,1.461549823723e+02
1.790000000000e+00,1.456488724444e+02
1.810000000000e+00,1.435984537751e+02
1.830000000000e+00,1.426244574070e+02
1.850000000000e+00,1.412211732171e+02
1.870000000000e+00,1.414461399708e+02
1.890000000000e+00,1.394666670924e+02
1.910000000000e+00,1.379648295278e+02
1.930000000000e+00,1.384755241098e+02
1.950000000000e+00,1.358196417939e+02
1.970000000000e+00,1.364036135155e+02
1.990000000000e+00,1.353840771313e+02
2.010000000000e+00,1.341983231266e+02
2.030000000000e+00,1.330562901989e+02
2.050000000000e+00,1.323627720818e+02
2.070000000000e+00,1.311417217401e+02
2.090000000000e+00,1.314028693741e+02
2.110000000000e+00,1.290108149361e+02
2.130000000000e+00,1.302714050678e+02
2.150000000000e+00,1.277502408151e+02
2.170000000000e+00,1.266847448848e+02
2.190000000000e+00,1.266803848883e+02
2.210000000000e+00,1.251743599811e+02
2.230000000000e+00,1.252016070251e+02
2.250000000000e+00,1.236799245335e+02
2.270000000000e+00,1.235274972825e+02
2.290000000000e+00,1.225690728909e+02
2.310000000000e+00,1.221764654197e+02
2.330000000000e+00,1.205021032188e+02
2.350000000000e+00,1.202473164128e+02
2.370000000000e+00,1.210615727124e+02
2.390000000000e+00,1.188063555975e+02
2.410000000000e+00,1.208306144775e+02
2.430000000000e+00,1.190615558496e+02
2.450000000000e+00,1.195715773828e+02
2.470000000000e+00,1.192966065898e+02
2.490000000000e+00,1.185392486398e+02
2.510000000000e+00,1.193746347175e+02
2.530000000000e+00,1.156094838424e+02
2.550000000000e+00,1.163262840433e+02
2.570000000000e+00,1.161264224505e+02
2.590000000000e+00,1.152342690275e+02
2.610000000000e+00,1.128539972211e+02
2.630000000000e+00,1.124333020846e+02
2.650000000000e+00,1.128032832771e+02
2.670000000000e+00,1.123660777546e+02
2.690000000000e+00,1.111141467347e+02
2.710000000000e+00,1.103292342430e+02
2.730000000000e+00,1.109785182358e+02
2.750000000000e+00,1.104968208390e+02
2.770000000000e+00,1.099344599742e+02
2.790000000000e+00,1.082367849957e+02
2.810000000000e+00,1.080471425051e+02
2.830000000000e+00,1.072072506191e+02
2.850000000000e+00,1.071890252517e+02
2.870000000000e+00,1.072454764572e+02
2.890000000000e+00,1.049566217225e+02
2.910000000000e+00,1.056667199361e+02
2.930000000000e+00,1.043818375170e+02
2.950000000000e+00,1.036847408454e+02
2.970000000000e+00,1.045828320575e+02
2.990000000000e+00,1.032623225750e+02
3.010000000000e+00,1.021338669887e+02
3.030000000000e+00,1.018866005215e+02
3.050000000000e+00,1.022905746862e+02
3.070000000000e+00,1.008257347887e+02
3.090000000000e+00,1.009457986899e+02
3.110000000000e+00,1.002625059428e+02
3.130000000000e+00,9.931373515914e+01
3.150000000000e+00,9.992738880717e+01
3.170000000000e+00,9.908965148114e+01
3.190000000000e+00,9.799124159057e+01
3.210000000000e+00,9.792798698473e+01
3.230000000000e+00,9.793707693049e+01
3.250000000000e+00,9.684909620467e+01
3.270000000000e+00,9.626506479271e+01
3.290000000000e+00,9.552926671818e+01
3.310000000000e+00,9.561268568658e+01
3.330000000000e+00,9.509166556071e+01
3.350000000000e+00,9.500981891035e+01
3.370000000000e+00,9.417201331936e+01
3.390000000000e+00,9.381028605692e+01
3.410000000000e+00,9.367326518328e+01
3.430000000000e+00,9.281414093705e+01
3.450000000000e+00,9.220321665915e+01
3.470000000000e+00,9.220554636348e+01
3.490000000000e+00,9.136428560923e+01
3.510000000000e+00,9.058325226749e+01
3.530000000000e+00,9.016960113631e+01
3.550000000000e+00,8.972647241871e+01
3.570000000000e+00,9.034507355298e+01
3.590000000000e+00,8.907229309565e+01
3.610000000000e+00,8.817589276294e+01
3.630000000000e+00,8.848369365025e+01
3.650000000000e+00,8.806490815323e+01
3.670000000000e+00,8.655781260756e+01
3.690000000000e+00,8.704477182169e+01
3.710000000000e+00,8.651333570652e+01
3.730000000000e+00,8.616165526751e+01
3.750000000000e+00,8.562715518120e+01
3.770000000000e+00,8.534404741317e+01
3.790000000000e+00,8.457629972313e+01
3.810000000000e+00,8.454022830904e+01
3.830000000000e+00,8.388047403064e+01
3.850000000000e+00,8.363668593465e+01
3.870000000000e+00,8.381933149199e+01
3.890000000000e+00,8.267726408076e+01
3.910000000000e+00,8.256268288617e+01
3.930000000000e+00,8.189478508073e+01
3.950000000000e+00,8.233990332212e+01
3.970000000000e+00,8.100494701754e+01
3.990000000000e+00,8.128170687345e+01
4.010000000000e+00,8.031552189844e+01
4.030000000000e+00,8.018287162788e+01
4.050000000000e+00,7.992478063266e+01
4.070000000000e+00,7.923846992233e+01
4.090000000000e+00,7.974135385384e+01
4.110000000000e+00,7.877153146059e+01
4.130000000000e+00,7.879701364790e+01
4.150000000000e+00,7.818508423251e+01
4.170000000000e+00,7.774582358028e+01
4.190000000000e+00,7.805371500395e+01
4.210000000000e+00,7.752760815427e+01
4.230000000000e+00,7.647238918497e+01
4.250000000000e+00,7.613736929889e+01
4.270000000000e+00,7.565730696989e+01
4.290000000000e+00,7.578299509724e+01
4.310000000000e+00,7.519393607520e+01
4.330000000000e+00,7.526269132139e+01
4.350000000000e+00,7.389987584101e+01
4.370000000000e+00,7.449364442493e+01
4.390000000000e+00,7.418729629287e+01
4.410000000000e+00,7.359727115110e+01
4.430000000000e+00,7.273269533828e+01
4.450000000000e+00,7.263274526801e+01
4.470000000000e+00,7.207617165874e+01
4.490000000000e+00,7.218515061892e+01
4.510000000000e+00,7.097140645092e+01
4.530000000000e+00,7.138923057446e+01
4.550000000000e+00,7.092749824705e+01
4.570000000000e+00,6.939443325984e+01
4.590000000000e+00,6.930791815347e+01
4.610000000000e+00,6.879148700644e+01
4.630000000000e+00,6.856893227866e+01
4.650000000000e+00,6.748057578565e+01
4.670000000000e+00,6.727926053712e+01
4.690000000000e+00,6.679230001812e+01
4.710000000000e+00,6.606174443015e+01
4.730000000000e+00,6.581131854653e+01
4.750000000000e+00,6.472206694946e+01
4.770000000000e+00,6.446574125851e+01
4.790000000000e+00,6.385831313720e+01
4.810000000000e+00,6.293610008746e+01
4.830000000000e+00,6.278238163543e+01
4.850000000000e+00,6.194275815223e+01
4.870000000000e+00,6.153673543435e+01
4.890000000000e+00,6.082464328550e+01
4.910000000000e+00,6.019811134223e+01
4.930000000000e+00,6.012811397611e+01
4.950000000000e+00,5.934405539947e+01
4.970000000000e+00,5.879969567127e+01
4.990000000000e+00,5.863951386972e+01
5.010000000000e+00,5.830259740695e+01
5.030000000000e+00,5.727767155466e+01
5.050000000000e+00,5.704352754725e+01
5.070000000000e+00,5.637181256432e+01
5.090000000000e+00,5.583361123551e+01
5.110000000000e+00,5.518690522240e+01
5.130000000000e+00,5.532929722308e+01
5.150000000000e+00,5.394175849268e+01
5.170000000000e+00,5.395349671369e+01
5.190000000000e+00,5.377571968302e+01
5.210000000000e+00,5.281605691236e+01
5.230000000000e+00,5.300095114513e+01
5.250000000000e+00,5.189936798568e+01
5.270000000000e+00,5.190059225454e+01
5.290000000000e+00,5.116526617499e+01
5.310000000000e+00,5.048005452380e+01
