redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.047376969927e+02
3.000000000000e-02,1.054060042247e+02
5.000000000000e-02,1.066413307786e+02
7.000000000000e-02,1.085686189631e+02
9.000000000000e-02,1.100784232959e+02
1.100000000000e-01,1.112861475722e+02
1.300000000000e-01,1.137563552493e+02
1.500000000000e-01,1.152535556991e+02
1.700000000000e-01,1.166202572026e+02
1.900000000000e-01,1.183238967102e+02
2.100000000000e-01,1.204582569763e+02
2.300000000000e-01,1.222915680880e+02
2.500000000000e-01,1.241805696487e+02
2.700000000000e-01,1.247089662374e+02
2.900000000000e-01,1.270826206017e+02
3.100000000000e-01,1.281425014584e+02
3.300000000000e-01,1.293374461931e+02
3.500000000000e-01,1.319471900205e+02
3.700000000000e-01,1.323805375707e+02
3.900000000000e-01,1.335580803703e+02
4.100000000000e-01,1.343307396828e+02
4.300000000000e-01,1.359739375590e+02
4.500000000000e-01,1.363124279804e+02
4.700000000000e-01,1.380372148302e+02
4.900000000000e-01,1.371054382472e+02
5.100000000000e-01,1.383686857851e+02
5.300000000000e-01,1.398086047121e+02
5.500000000000e-01,1.397964813256e+02
5.700000000000e-01,1.402049996278e+02
5.900000000000e-01,1.396860157678e+02
6.100000000000e-01,1.423060509273e+02
6.300000000000e-01,1.404718772948e+02
6.500000000000e-01,1.427235009282e+02
6.700000000000e-01,1.431442251486e+02
6.900000000000e-01,1.432052105811e+02
7.100000000000e-01,1.444854307669e+02
7.300000000000e-01,1.441337195116e+02
7.500000000000e-01,1.455744189538e+02
7.700000000000e-01,1.453655898832e+02
7.900000000000e-01,1.464634408520e+02
8.100000000000e-01,1.451588534400e+02
8.300000000000e-01,1.459300074332e+02
8.500000000000e-01,1.459444987877e+02
8.700000000000e-01,1.457567364829e+02
8.900000000000e-01,1.455091058070e+02
9.100000000000e-01,1.456713737538e+02
9.300000000000e-01,1.453193490362e+02
9.500000000000e-01,1.457500363219e+02
9.700000000000e-01,1.436927910383e+02
9.900000000000e-01,1.449529216047e+02
1.010000000000e+00,1.431312600392e+02
1.030000000000e+00,1.428769583910e+02
1.050000000000e+00,1.423408686253e+02
1.070000000000e+00,1.416880971552e+02
1.090000000000e+00,1.404310648975e+02
1.110000000000e+00,1.392716297219e+02
1.130000000000e+00,1.396412620336e+02
1.150000000000e+00,1.376792828214e+02
1.170000000000e+00,1.368969513313e+02
1.190000000000e+00,1.356445626959e+02
1.210000000000e+00,1.361032447396e+02
1.230000000000e+00,1.340914355845e+02
1.250000000000e+00,1.330893803318e+02
1.270000000000e+00,1.315825462540e+02
1.290000000000e+00,1.313838201960e+02
1.310000000000e+00,1.280157544892e+02
1.330000000000e+00,1.296194740429e+02
1.350000000000e+00,1.274812947924e+02
1.370000000000e+00,1.262560707230e+02
1.390000000000e+00,1.259248948495e+02
1.410000000000e+00,1.250281314149e+02
1.430000000000e+00,1.239487997572e+02
1.450000000000e+00,1.229301079002e+02
1.470000000000e+00,1.223418481031e+02
1.490000000000e+00,1.217686675671e+02
1.510000000000e+00,1.213020009821e+02
1.530000000000e+00,1.191069066130e+02
1.550000000000e+00,1.209141239173e+02
1.570000000000e+00,1.184676799507e+02
1.590000000000e+00,1.182478336579e+02
1.610000000000e+00,1.175316609737e+02
1.630000000000e+00,1.172199367214e+02
1.650000000000e+00,1.162461789703e+02
1.670000000000e+00,1.147759494296e+02
1.690000000000e+00,1.151515483720e+02
1.710000000000e+00,1.131546995650e+02
1.730000000000e+00,1.130115198495e+02
1.750000000000e+00,1.113514950292e+02
1.770000000000e+00,1.112751579652e+02
1.790000000000e+00,1.108976535626e+02
1.810000000000e+00,1.094065437758e+02
1.830000000000e+00,1.086826276146e+02
1.850000000000e+00,1.076676226602e+02
1.870000000000e+00,1.079127953062e+02
1.890000000000e+00,1.063567716898e+02
1.910000000000e+00,1.053058781937e+02
1.930000000000e+00,1.056905301936e+02
1.950000000000e+00,1.036975236173e+02
1.970000000000e+00,1.041978270031e+02
1.990000000000e+00,1.034521198689e+02
2.010000000000e+00,1.025147081823e+02
2.030000000000e+00,1.017146889598e+02
2.050000000000e+00,1.011482155751e+02
2.070000000000e+00,1.002896620632e+02
2.090000000000e+00,1.005259123683e+02
2.110000000000e+00,9.865028333614e+01
2.130000000000e+00,9.972158618228e+01
2.150000000000e+00,9.777734040730e+01
2.170000000000e+00,9.699839808274e+01
2.190000000000e+00,9.702157735466e+01
2.210000000000e+00,9.586039312507e+01
2.230000000000e+00,9.592651315099e+01
2.250000000000e+00,9.475424808462e+01
2.270000000000e+00,9.469500740424e+01
2.290000000000e+00,9.396141775700e+01
2.310000000000e+00,9.366454789983e+01
2.330000000000e+00,9.245022160170e+01
2.350000000000e+00,9.221807636136e+01
2.370000000000e+00,9.290472384804e+01
2.390000000000e+00,9.116002037051e+01
2.410000000000e+00,9.275991401330e+01
2.430000000000e+00,9.142966151085e+01
2.450000000000e+00,9.180810681065e+01
2.470000000000e+00,9.162124534545e+01
2.490000000000e+00,9.111500397095e+01
2.510000000000e+00,9.173545306841e+01
2.530000000000e+00,8.884607717637e+01
2.550000000000e+00,8.940001063232e+01
2.570000000000e+00,8.922604157600e+01
2.590000000000e+00,8.858054701891e+01
2.610000000000e+00,8.679070768105e+01
2.630000000000e+00,8.640778311369e+01
2.650000000000e+00,8.672485918960e+01
2.670000000000e+00,8.642439932553e+01
2.690000000000e+00,8.546092926606e+01
2.710000000000e+00,8.488152037181e+01
2.730000000000e+00,8.538516441888e+01
2.750000000000e+00,8.503132300921e+01
2.770000000000e+00,8.461925366424e+01
2.790000000000e+00,8.328429272215e+01
2.810000000000e+00,8.317747378887e+01
2.830000000000e+00,8.247576543117e+01
2.850000000000e+00,8.255598431789e+01
2.870000000000e+00,8.255438086413e+01
2.890000000000e+00,8.080402636601e+01
2.910000000000e+00,8.134215013574e+01
2.930000000000e+00,8.034064776088e+01
2.950000000000e+00,7.983309714450e+01
2.970000000000e+00,8.049578822967e+01
2.990000000000e+00,7.953026684590e+01
3.010000000000e+00,7.862129036711e+01
3.030000000000e+00,7.846007093477e+01
3.050000000000e+00,7.876653000137e+01
3.070000000000e+00,7.766868565958e+01
3.090000000000e+00,7.773081189574e+01
3.110000000000e+00,7.725542011703e+01
3.130000000000e+00,7.648811386962e+01
3.150000000000e+00,7.698024994202e+01
3.170000000000e+00,7.630715026531e+01
3.190000000000e+00,7.547869524788e+01
3.210000000000e+00,7.547177200863e+01
3.230000000000e+00,7.542799080512e+01
3.250000000000e+00,7.461164321134e+01
3.270000000000e+00,7.415264049342e+01
3.290000000000e+00,7.363544126665e+01
3.310000000000e+00,7.365656109715e+01
3.330000000000e+00,7.330393296212e+01
3.350000000000e+00,7.319282676555e+01
3.370000000000e+00,7.259268907961e+01
3.390000000000e+00,7.226420671513e+01
3.410000000000e+00,7.220565617562e+01
3.430000000000e+00,7.152760112638e+01
3.450000000000e+00,7.105334908521e+01
3.470000000000e+00,7.107154506225e+01
3.490000000000e+00,7.043314676064e+01
3.510000000000e+00,6.981931761925e+01
3.530000000000e+00,6.948812104459e+01
3.550000000000e+00,6.916676680286e+01
3.570000000000e+00,6.963889377125e+01
3.590000000000e+00,6.866454103090e+01
3.610000000000e+00,6.797251497129e+01
3.630000000000e+00,6.820217148046e+01
3.650000000000e+00,6.789857391687e+01
3.670000000000e+00,6.672119371805e+01
3.690000000000e+00,6.712263442453e+01
3.710000000000e+00,6.669041588391e+01
3.730000000000e+00,6.643220629329e+01
3.750000000000e+00,6.600278367041e+01
3.770000000000e+00,6.580463551444e+01
3.790000000000e+00,6.520854891246e+01
3.810000000000e+00,6.518718430766e+01
3.830000000000e+00,6.466217749051e+01
3.850000000000e+00,6.449526406085e+01
3.870000000000e+00,6.466481250002e+01
3.890000000000e+00,6.371549199681e+01
3.910000000000e+00,6.364867626527e+01
3.930000000000e+00,6.316638963269e+01
3.950000000000e+00,6.347990193155e+01
3.970000000000e+00,6.249555419120e+01
3.990000000000e+00,6.267951927022e+01
4.010000000000e+00,6.192888596382e+01
4.030000000000e+00,6.184605984287e+01
4.050000000000e+00,6.163748119138e+01
4.070000000000e+00,6.111902496917e+01
4.090000000000e+00,6.152585074500e+01
4.110000000000e+00,6.074169657395e+01
4.130000000000e+00,6.079462868213e+01
4.150000000000e+00,6.031625937776e+01
4.170000000000e+00,5.997127071881e+01
4.190000000000e+00,6.022041783870e+01
4.210000000000e+00,5.983026209731e+01
4.230000000000e+00,5.898658134193e+01
4.250000000000e+00,5.874846236861e+01
4.270000000000e+00,5.837425344951e+01
4.290000000000e+00,5.848700488926e+01
4.310000000000e+00,5.803931111740e+01
4.330000000000e+00,5.810277985770e+01
4.350000000000e+00,5.702658485111e+01
4.370000000000e+00,5.750581074151e+01
4.390000000000e+00,5.727221369745e+01
4.410000000000e+00,5.683141735128e+01
4.430000000000e+00,5.614725285583e+01
4.450000000000e+00,5.608557588380e+01
4.470000000000e+00,5.563531420735e+01
4.490000000000e+00,5.571663098588e+01
4.510000000000e+00,5.480939215578e+01
4.530000000000e+00,5.512742704919e+01
4.550000000000e+00,5.477091409630e+01
4.570000000000e+00,5.359071532627e+01
4.590000000000e+00,5.353458602604e+01
4.610000000000e+00,5.312237127903e+01
4.630000000000e+00,5.294446575557e+01
4.650000000000e+00,5.211334112649e+01
4.670000000000e+00,5.198485913463e+01
4.690000000000e+00,5.156200759674e+01
4.710000000000e+00,5.102082694378e+01
4.730000000000e+00,5.083983125508e+01
4.750000000000e+00,4.999507098408e+01
4.770000000000e+00,4.979948080764e+01
4.790000000000e+00,4.932607823921e+01
4.810000000000e+00,4.862780028372e+01
4.830000000000e+00,4.850647745030e+01
4.850000000000e+00,4.786369435953e+01
4.870000000000e+00,4.754571494362e+01
4.890000000000e+00,4.700511560825e+01
4.910000000000e+00,4.652084621112e+01
4.930000000000e+00,4.647579508044e+01
4.950000000000e+00,4.584145377332e+01
4.970000000000e+00,4.544751910472e+01
4.990000000000e+00,4.530773227309e+01
5.010000000000e+00,4.506167196251e+01
5.030000000000e+00,4.426960248076e+01
5.050000000000e+00,4.408695521055e+01
5.070000000000e+00,4.356782059640e+01
5.090000000000e+00,4.315257322872e+01
5.110000000000e+00,4.265312356292e+01
5.130000000000e+00,4.276342905426e+01
5.150000000000e+00,4.167570848551e+01
5.170000000000e+00,4.171066002585e+01
5.190000000000e+00,4.155644372902e+01
5.210000000000e+00,4.081484770070e+01
5.230000000000e+00,4.096842728801e+01
5.250000000000e+00,4.011239143385e+01
5.270000000000e+00,4.010858965278e+01
5.290000000000e+00,3.956511275997e+01
5.310000000000e+00,3.902002678177e+01
5.330000000000e+00,3.902229832706e+01
5.350000000000e+00,3.836107522403e+01
5.370000000000e+00,3.810600879955e+01
5.390000000000e+00,3.795731466709e+01
5.410000000000e+00,3.748639159046e+01
5.430000000000e+00,3.693571804534e+01
5.450000000000e+00,3.647104598823e+01
5.470000000000e+00,3.601350209033e+01
5.490000000000e+00,3.584094419780e+01
5.510000000000e+00,3.561194825963e+01
5.530000000000e+00,3.510910838642e+01
5.550000000000e+00,3.476404353509e+01
5.570000000000e+00,3.456489536616e+01
5.590000000000e+00,3.418756017689e+01
5.610000000000e+00,3.365941382738e+01
5.630000000000e+00,3.334498933945e+01
5.650000000000e+00,3.303611300680e+01
5.670000000000e+00,3.252139723906e+01
5.690000000000e+00,3.215051932997e+01
5.710000000000e+00,3.164781974575e+01
5.730000000000e+00,3.173268456714e+01
5.750000000000e+00,3.085305207236e+01
5.770000000000e+00,3.046267130452e+01
5.790000000000e+00,2.977912263924e+01
5.810000000000e+00,2.976773410240e+01
5.830000000000e+00,2.912004205386e+01
5.850000000000e+00,2.888485087445e+01
5.870000000000e+00,2.847156023931e+01
5.890000000000e+00,2.805379044818e+01
5.910000000000e+00,2.765899574475e+01
5.930000000000e+00,2.741523573120e+01
5.950000000000e+00,2.699391937724e+01
5.970000000000e+00,2.652645159774e+01
5.990000000000e+00,2.643815608792e+01
6.010000000000e+00,2.622671944141e+01
6.030000000000e+00,2.583668137310e+01
6.050000000000e+00,2.530897984139e+01
6.070000000000e+00,2.494067265173e+01
6.090000000000e+00,2.484216372601e+01
6.110000000000e+00,2.430214164363e+01
6.130000000000e+00,2.409868925365e+01
6.150000000000e+00,2.367454783018e+01
6.170000000000e+00,2.330580802496e+01
6.190000000000e+00,2.299495185886e+01
6.210000000000e+00,2.301426116380e+01
6.230000000000e+00,2.250617803365e+01
6.250000000000e+00,2.235826579223e+01
6.270000000000e+00,2.195570308917e+01
6.290000000000e+00,2.146718804121e+01
6.310000000000e+00,2.132162938870e+01
6.330000000000e+00,2.115587910821e+01
6.350000000000e+00,2.067812598939e+01
6.370000000000e+00,2.022081995126e+01
6.390000000000e+00,2.003432404418e+01
6.410000000000e+00,1.951646516795e+01
6.430000000000e+00,1.906888294563e+01
6.450000000000e+00,1.877587109412e+01
6.470000000000e+00,1.843488323442e+01
6.490000000000e+00,1.814971293080e+01
6.510000000000e+00,1.787195425561e+01
6.530000000000e+00,1.733274603524e+01
6.550000000000e+00,1.683807174393e+01
6.570000000000e+00,1.676613169566e+01
6.590000000000e+00,1.632259662172e+01
6.610000000000e+00,1.599676131514e+01
6.630000000000e+00,1.575469013981e+01
6.650000000000e+00,1.554618805610e+01
6.670000000000e+00,1.494574958316e+01
6.690000000000e+00,1.486618894126e+01
6.710000000000e+00,1.453577666658e+01
6.730000000000e+00,1.418977603572e+01
6.750000000000e+00,1.391174776662e+01
6.770000000000e+00,1.365721964989e+01
6.790000000000e+00,1.332439458211e+01
6.810000000000e+00,1.308025643221e+01
6.830000000000e+00,1.291993166432e+01
6.850000000000e+00,1.270051192815e+01
6.870000000000e+00,1.227020362970e+01
6.890000000000e+00,1.210617271748e+01
6.910000000000e+00,1.186075626680e+01
6.930000000000e+00,1.176964633852e+01
6.950000000000e+00,1.150148591291e+01
6.970000000000e+00,1.146429690257e+01
6.990000000000e+00,1.118963813629e+01
