redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,6.123125749304e+01
3.000000000000e-02,6.261509843159e+01
5.000000000000e-02,6.365099737335e+01
7.000000000000e-02,6.525427853677e+01
9.000000000000e-02,6.591472203785e+01
1.100000000000e-01,6.788172398435e+01
1.300000000000e-01,6.745078352571e+01
1.500000000000e-01,6.874689204985e+01
1.700000000000e-01,6.992877695000e+01
1.900000000000e-01,7.089824661222e+01
2.100000000000e-01,7.215170144344e+01
2.300000000000e-01,7.220547835725e+01
2.500000000000e-01,7.386077613671e+01
2.700000000000e-01,7.517615590686e+01
2.900000000000e-01,7.588477863186e+01
3.100000000000e-01,7.668659302327e+01
3.300000000000e-01,7.796934533877e+01
3.500000000000e-01,7.853923187948e+01
3.700000000000e-01,7.939929566054e+01
3.900000000000e-01,8.125736018626e+01
4.100000000000e-01,8.194208033488e+01
4.300000000000e-01,8.371737355739e+01
4.500000000000e-01,8.583910975732e+01
4.700000000000e-01,8.633800258562e+01
4.900000000000e-01,8.657771129734e+01
5.100000000000e-01,8.887047389024e+01
5.300000000000e-01,8.887973359013e+01
5.500000000000e-01,9.098305436411e+01
5.700000000000e-01,8.976845692168e+01
5.900000000000e-01,9.103432859373e+01
6.100000000000e-01,9.302866474632e+01
6.300000000000e-01,9.310673043763e+01
6.500000000000e-01,9.254142125040e+01
6.700000000000e-01,9.415638131190e+01
6.900000000000e-01,9.352743265629e+01
7.100000000000e-01,9.402308541666e+01
7.300000000000e-01,9.465230108761e+01
7.500000000000e-01,9.597933192925e+01
7.700000000000e-01,9.507016578563e+01
7.900000000000e-01,9.657168603942e+01
8.100000000000e-01,9.541657701406e+01
8.300000000000e-01,9.745523769606e+01
8.500000000000e-01,9.564474257022e+01
8.700000000000e-01,9.782239428887e+01
8.900000000000e-01,9.671009146370e+01
9.100000000000e-01,9.770419623432e+01
9.300000000000e-01,9.633892912620e+01
9.500000000000e-01,9.705726783794e+01
9.700000000000e-01,9.704611241345e+01
9.900000000000e-01,9.789182031072e+01
1.010000000000e+00,9.783097448653e+01
1.030000000000e+00,9.651881541355e+01
1.050000000000e+00,9.770450386341e+01
1.070000000000e+00,9.764732686928e+01
1.090000000000e+00,9.694145098222e+01
1.110000000000e+00,9.707779381496e+01
1.130000000000e+00,9.870485794424e+01
1.150000000000e+00,9.536684286354e+01
1.170000000000e+00,9.944964992208e+01
1.190000000000e+00,9.651265708350e+01
1.210000000000e+00,9.733885332168e+01
1.230000000000e+00,9.628368070522e+01
1.250000000000e+00,9.719350758626e+01
1.270000000000e+00,9.741166997232e+01
1.290000000000e+00,9.669976052213e+01
1.310000000000e+00,9.574348808031e+01
1.330000000000e+00,9.694491037036e+01
1.350000000000e+00,9.617735600880e+01
1.370000000000e+00,9.428745754348e+01
1.390000000000e+00,9.506258656010e+01
1.410000000000e+00,9.417098185803e+01
1.430000000000e+00,9.320768076645e+01
1.450000000000e+00,9.329668955064e+01
1.470000000000e+00,9.410936477008e+01
1.490000000000e+00,9.269021782482e+01
1.510000000000e+00,9.140521026584e+01
1.530000000000e+00,9.110085566118e+01
1.550000000000e+00,8.988138514926e+01
1.570000000000e+00,9.010015410131e+01
1.590000000000e+00,9.048660181914e+01
1.610000000000e+00,8.792048890329e+01
1.630000000000e+00,8.957750333705e+01
1.650000000000e+00,8.748334963809e+01
1.670000000000e+00,8.522595533259e+01
1.690000000000e+00,8.561405347320e+01
1.710000000000e+00,8.592191236165e+01
1.730000000000e+00,8.459534814383e+01
1.750000000000e+00,8.321148819573e+01
1.770000000000e+00,8.308442209360e+01
1.790000000000e+00,8.027090469625e+01
1.810000000000e+00,8.104279877754e+01
1.830000000000e+00,8.033212694549e+01
1.850000000000e+00,7.912455404919e+01
1.870000000000e+00,7.842821263339e+01
1.890000000000e+00,7.735441252226e+01
