#Redshift Merger_Rate_Density[Gpc^-3yr^-1]
7.575757575757524620e-02 9.091269690440240581e+00
2.272727272727266268e-01 1.162478474031104092e+01
3.787878787878780074e-01 1.539181170652232034e+01
5.303030303030293879e-01 2.021277900542178685e+01
6.818181818181816567e-01 2.597333458110774629e+01
8.333333333333330373e-01 3.238113475642980177e+01
9.848484848484844179e-01 4.000123537341069380e+01
1.136363636363635798e+00 4.800847650211303375e+01
1.287878787878787179e+00 5.652766766514726982e+01
1.439393939393939448e+00 6.484824898490138878e+01
1.590909090909090828e+00 7.224227370491045974e+01
1.742424242424242209e+00 7.761931647950228808e+01
1.893939393939393590e+00 8.141718019848238441e+01
2.045454545454544970e+00 8.242445442229404762e+01
2.196969696969696351e+00 8.129609413360316239e+01
2.348484848484847731e+00 7.798851981197141470e+01
2.500000000000000000e+00 7.311890504402927604e+01
2.651515151515151381e+00 6.717163177527122286e+01
2.803030303030302761e+00 6.045699521113390063e+01
2.954545454545454142e+00 5.328781920854469689e+01
3.106060606060605522e+00 4.660448473037300232e+01
3.257575757575756903e+00 4.016837330188099031e+01
3.409090909090908283e+00 3.472036004877862325e+01
3.560606060606060552e+00 2.981949263188185739e+01
3.712121212121211933e+00 2.576307773893351083e+01
3.863636363636363313e+00 2.272919404063098625e+01
4.015151515151514694e+00 2.039477005706600465e+01
4.166666666666666075e+00 1.886291548740804558e+01
4.318181818181818343e+00 1.764955365966141443e+01
4.469696969696969724e+00 1.710892714340733534e+01
4.621212121212121104e+00 1.634068385433211290e+01
4.772727272727272485e+00 1.591395125454287651e+01
4.924242424242423866e+00 1.552402264243398911e+01
5.075757575757575246e+00 1.502249250448208251e+01
5.227272727272726627e+00 1.435456247021625664e+01
5.378787878787878896e+00 1.407129880355612350e+01
5.530303030303030276e+00 1.241933014293439363e+01
5.681818181818181657e+00 1.087888552007854415e+01
5.833333333333333037e+00 9.669778252244176642e+00
5.984848484848484418e+00 8.828719626687234978e+00
6.136363636363635798e+00 8.425596324483835886e+00
6.287878787878787179e+00 7.340031291666684332e+00
6.439393939393939448e+00 6.788975962881274917e+00
6.590909090909090828e+00 6.252485179895962197e+00
6.742424242424242209e+00 5.792027990663155990e+00
6.893939393939393590e+00 5.448708551778815412e+00
7.045454545454544970e+00 5.094139438757860461e+00
7.196969696969697239e+00 4.775428273337818830e+00
7.348484848484847731e+00 4.445221467953831329e+00
7.500000000000000000e+00 4.148625795423485307e+00
7.651515151515150492e+00 3.794786720103988653e+00
7.803030303030302761e+00 3.462382310042048772e+00
7.954545454545455030e+00 3.108221409482159636e+00
8.106060606060605522e+00 2.741603476448029930e+00
8.257575757575757791e+00 2.378214863207035901e+00
8.409090909090908283e+00 2.047805882398184618e+00
8.560606060606060552e+00 1.789578201754033815e+00
8.712121212121212821e+00 1.596617742786456073e+00
8.863636363636363313e+00 1.418544904486032321e+00
9.015151515151515582e+00 1.270020167093870000e+00
9.166666666666666075e+00 1.132700596203596977e+00
9.318181818181818343e+00 9.512809538591004976e-01
9.469696969696968836e+00 7.781530066806231494e-01
9.621212121212121104e+00 6.185302082716296335e-01
9.772727272727273373e+00 4.862922754812743498e-01
9.924242424242423866e+00 3.718336744259439497e-01
1.007575757575757613e+01 2.842091648606288601e-01
1.022727272727272663e+01 2.166787730580592430e-01
1.037878787878787890e+01 1.585891113989970624e-01
1.053030303030302939e+01 1.104707847799811099e-01
1.068181818181818166e+01 7.603636521872664256e-02
1.083333333333333393e+01 5.255042468502833103e-02
1.098484848484848442e+01 3.896723758016014394e-02
1.113636363636363669e+01 3.167653596731300619e-02
1.128787878787878718e+01 2.050924233492328053e-02
1.143939393939393945e+01 1.516225938308376348e-02
1.159090909090908994e+01 1.217575221870688916e-02
1.174242424242424221e+01 9.673025633291455760e-03
1.189393939393939448e+01 8.677771578313966949e-03
1.204545454545454497e+01 9.123387374322913107e-03
1.219696969696969724e+01 7.790501215967061965e-03
1.234848484848484773e+01 9.614166729963461583e-03
1.250000000000000000e+01 7.802820534899813920e-03
1.265151515151515227e+01 8.812203194009410323e-03
1.280303030303030276e+01 7.064340136233153780e-03
1.295454545454545503e+01 6.059580746354980597e-03
1.310606060606060552e+01 5.869156256389657274e-03
1.325757575757575779e+01 4.927055358527110407e-03
1.340909090909091006e+01 4.757867183833208898e-03
1.356060606060606055e+01 4.569607342750406018e-03
1.371212121212121104e+01 4.413643542675870467e-03
1.386363636363636331e+01 6.271544064476590290e-03
1.401515151515151558e+01 4.943338035702085631e-03
1.416666666666666607e+01 4.779659173469784882e-03
1.431818181818181834e+01 1.868654479799306597e-03
1.446969696969696884e+01 2.922198079496837850e-10
1.462121212121212110e+01 0.000000000000000000e+00
1.477272727272727337e+01 0.000000000000000000e+00
1.492424242424242387e+01 0.000000000000000000e+00
