#Redshift Merger_Rate_Density[Gpc^-3yr^-1]
7.575757575757524620e-02 1.355619074181156902e+00
2.272727272727266268e-01 1.573501759752117479e+00
3.787878787878780074e-01 1.841384642332914101e+00
5.303030303030293879e-01 2.207706348020248566e+00
6.818181818181816567e-01 2.601251539439660920e+00
8.333333333333330373e-01 2.887414204235686288e+00
9.848484848484844179e-01 3.636770380838108885e+00
1.136363636363635798e+00 4.358331461362528358e+00
1.287878787878787179e+00 5.177222857030208125e+00
1.439393939393939448e+00 6.076288708181648346e+00
1.590909090909090828e+00 6.636300151101700351e+00
1.742424242424242209e+00 7.181916531255519764e+00
1.893939393939393590e+00 8.103617157336195476e+00
2.045454545454544970e+00 8.548237130087123603e+00
2.196969696969696351e+00 8.616739853528690318e+00
2.348484848484847731e+00 9.053993917039090178e+00
2.500000000000000000e+00 9.232063726021356942e+00
2.651515151515151381e+00 9.306928767208491493e+00
2.803030303030302761e+00 8.860252646330650350e+00
2.954545454545454142e+00 8.507140766322688563e+00
3.106060606060605522e+00 8.025841621579104412e+00
3.257575757575756903e+00 7.715314023261753640e+00
3.409090909090908283e+00 7.274338141862851437e+00
3.560606060606060552e+00 6.800979588819027200e+00
3.712121212121211933e+00 6.122036467255823844e+00
3.863636363636363313e+00 5.746548455199219418e+00
4.015151515151514694e+00 5.247888393230122794e+00
4.166666666666666075e+00 4.867927449794380301e+00
4.318181818181818343e+00 4.446554753159412954e+00
4.469696969696969724e+00 4.042251566802674390e+00
4.621212121212121104e+00 3.741657787428704918e+00
4.772727272727272485e+00 3.314810399275265773e+00
4.924242424242423866e+00 3.165998812413068020e+00
5.075757575757575246e+00 2.787224034947412221e+00
5.227272727272726627e+00 2.716555141258043982e+00
5.378787878787878896e+00 2.430488506641649504e+00
5.530303030303030276e+00 2.241012284939850385e+00
5.681818181818181657e+00 2.054797652648824524e+00
5.833333333333333037e+00 1.969340580831590470e+00
5.984848484848484418e+00 1.791224898564089063e+00
6.136363636363635798e+00 1.638238295492521868e+00
6.287878787878787179e+00 1.479791936343419545e+00
6.439393939393939448e+00 1.453072798539390753e+00
6.590909090909090828e+00 1.363885797807854683e+00
6.742424242424242209e+00 1.388829571657185236e+00
6.893939393939393590e+00 1.370746347802115794e+00
7.045454545454544970e+00 1.363015007258412625e+00
7.196969696969697239e+00 1.359846917725351156e+00
7.348484848484847731e+00 1.439061749611333596e+00
7.500000000000000000e+00 1.427379937154167555e+00
7.651515151515150492e+00 1.534735721269462561e+00
7.803030303030302761e+00 1.574134243479201611e+00
7.954545454545455030e+00 1.620435199922797276e+00
8.106060606060605522e+00 1.629154161369895881e+00
8.257575757575757791e+00 1.568572592540559585e+00
8.409090909090908283e+00 1.624352524035620027e+00
8.560606060606060552e+00 1.573704937918052105e+00
8.712121212121212821e+00 1.537836391836725047e+00
8.863636363636363313e+00 1.587100852861482281e+00
9.015151515151515582e+00 1.568675919306756761e+00
9.166666666666666075e+00 1.515325507734830879e+00
9.318181818181818343e+00 1.566762589235606296e+00
9.469696969696968836e+00 1.578822510191405515e+00
9.621212121212121104e+00 1.576940245806673468e+00
9.772727272727273373e+00 1.592358638569985718e+00
9.924242424242423866e+00 1.635743370833773414e+00
1.007575757575757613e+01 1.654083085177431967e+00
1.022727272727272663e+01 1.615638367017128374e+00
1.037878787878787890e+01 1.632758025087396758e+00
1.053030303030302939e+01 1.591326684763655130e+00
1.068181818181818166e+01 1.536273978455689582e+00
1.083333333333333393e+01 1.449133025637590722e+00
1.098484848484848442e+01 1.385252005273328368e+00
1.113636363636363669e+01 1.354194895330112169e+00
1.128787878787878718e+01 1.330341409776291783e+00
1.143939393939393945e+01 1.283902700475102687e+00
1.159090909090908994e+01 1.289065877871056642e+00
1.174242424242424221e+01 1.243240151143576444e+00
1.189393939393939448e+01 1.162571278174832523e+00
1.204545454545454497e+01 1.135405236653832750e+00
1.219696969696969724e+01 1.059261272031259526e+00
1.234848484848484773e+01 1.012246394321286269e+00
1.250000000000000000e+01 9.364574670898201392e-01
1.265151515151515227e+01 9.424029402363521823e-01
1.280303030303030276e+01 8.777068235079483749e-01
1.295454545454545503e+01 8.276000224872588351e-01
1.310606060606060552e+01 8.029968911618310390e-01
1.325757575757575779e+01 7.741619883201463770e-01
1.340909090909091006e+01 7.463262688729311867e-01
1.356060606060606055e+01 6.761036579467248897e-01
1.371212121212121104e+01 6.404751564640402961e-01
1.386363636363636331e+01 5.962543402854962871e-01
1.401515151515151558e+01 5.668788032143542432e-01
1.416666666666666607e+01 4.938595767519466939e-01
1.431818181818181834e+01 3.103537821388198115e-01
1.446969696969696884e+01 1.018518386641313472e-01
1.462121212121212110e+01 2.943731595144825127e-03
1.477272727272727337e+01 0.000000000000000000e+00
1.492424242424242387e+01 0.000000000000000000e+00
