theta_v,R_E,R_F,alpha_E,alpha_N
0.0,1.0,1.0,0.89,0.81
0.00175,1.0,1.0,0.8826470416291544,0.811336901521972
0.0389,1.12,4.18,0.7265542396423472,0.8397174109741187
0.076,0.495,1.07,0.5977611070403064,0.8545149308099809
0.113,0.137,0.0277,0.505255769150217,0.8426044868841289
0.15,0.0602,0.00137,0.4840563307303765,0.7648732126780472
0.187,0.0298,0.000502,0.4457137846210721,0.7271425230807147
0.225,0.021,0.000114,0.4170281653651882,0.6862253229215061
0.262,0.0131,4.64e-05,0.4099157089621978,0.629900383318961
0.44,0.003,3e-06,0.33512561810445435,0.541512094123446
