TRIGGER_TIME,RA,DEC,T90,FLUX_BATSE_64,FLUENCE_BATSE,PFLX_COMP_EPEAK,mjd_utc
60935.092523045,313.52,-40.76,0.48,4.1964,7.0555e-08,0.0,60935.09209480426
60328.728561161,152.67,-83.61,0.832,9.2584,3.6184e-07,928.2537,60328.72813292026
60049.473598778,61.71,-69.94,0.416,4.4379,1.2435e-07,0.0,60049.47317053726
59210.634808039,170.121,-73.613,0.112,46.9079,8.78e-07,1073.204,59210.63437979826
60753.213529067,246.18,-70.9,1.056,4.8091,1.1226e-07,0.0,60753.21310082626
60134.735032693,267.56,-70.47,0.192,22.6936,1.2439e-06,1168.434,60134.734604452264
60838.620330815,113.24,16.17,1.616,58.776,6.716e-06,0.0,60838.61990257426
59790.658970279,225.021,-69.497,0.16,14.9314,4.0691e-07,431.9586,59790.65854203826
60336.201857923,299.93,-62.79,0.096,8.6046,8.3014e-08,166.4221,60336.20142968226
60529.919601698,297.35,-42.71,0.832,11.6964,3.8025e-07,0.0,60529.91917345726
59233.120946988,282.804,-61.801,0.048,7.1349,1.4788e-07,0.0,59233.12051874726
59542.104092097,94.967,-61.433,0.512,5.6756,2.9162e-07,200.954,59542.10366385626
61017.536487828,312.79,-30.74,0.096,11.0088,2.6791e-07,0.0,61017.53605958726
59572.980324785,220.89,-41.57,0.192,4.2999,9.4107e-08,909.0992,59572.97989654426
59785.243713745,250.08,-41.4,0.512,4.0611,6.2555e-08,0.0,59785.243285504264
61001.989200178,336.518,-55.632,1.536,4.2054,1.7263e-07,0.0,61001.988771937264
59785.563374033,105.34,-56.79,0.256,4.2451,1.3253e-07,452.5927,59785.56294579226
60229.230793477,29.61,19.72,0.832,5.6849,2.4689e-07,1265.368,60229.23036523626
59874.612342934,231.58,-53.55,0.256,11.1294,2.5123e-07,647.2079,59874.61191469326
59522.782069506,16.85,17.53,0.704,31.2947,9.8522e-07,0.0,59522.78164126526
59979.129518688,312.67,-50.73,0.032,4.048,4.1878e-08,0.0,59979.12909044726
61134.998020388,165.788,-48.562,0.064,4.6136,6.7678e-08,0.0,61134.99759214726
61029.984775796,251.35,47.92,0.384,8.9097,4.2495e-07,0.0,61029.98434755526
60193.538277182,81.37,-47.41,1.024,33.5054,1.2299e-06,718.0015,60193.53784894126
59771.674983051,79.625,-47.309,0.256,5.6313,3.0555e-07,1333.845,59771.67455481026
59960.374382802,115.533,-43.027,0.064,38.1155,7.8343e-07,683.687,59960.37395456126
59811.998220085,264.26,-41.9,0.128,4.2727,5.8269e-08,295.6631,59811.99779184426
59370.21456469,21.67,-41.51,0.448,5.2001,2.0642e-07,896.8208,59370.21413644926
60532.880091237,140.09,-41.4,1.536,8.3939,4.9097e-07,785.1097,60532.87966299626
60964.624534311,266.207,-39.577,0.32,15.6568,7.388e-07,0.0,60964.62410607026
59946.015427856,272.78,-35.14,0.176,15.6843,4.5053e-07,1520.465,59946.01499961526
60009.672934362,160.41,-32.55,0.64,10.7148,3.06e-07,0.0,60009.672506121264
61107.837412631,250.24,-32.61,1.024,5.7068,4.6553e-07,0.0,61107.83698439026
60489.817078744,198.67,-30.3,0.225,5.8502,1.5802e-07,663.026,60489.816650503264
59992.911929276,280.771,-28.856,0.896,39.9594,4.7542e-06,0.0,59992.91150103526
60506.238926575,8.39,-29.42,0.16,20.6048,6.0724e-07,1927.986,60506.23849833426
60404.109775826,256.95,-27.34,0.704,4.065,1.2372e-07,235.5478,60404.10934758526
60692.848586732,252.55,-26.18,0.832,11.9342,5.3888e-07,0.0,60692.84815849126
61140.294409691,110.67,-20.94,0.96,5.4342,3.9702e-07,0.0,61140.29398145026
60053.567863412,322.37,-19.09,0.256,6.8343,1.7718e-07,0.0,60053.56743517126
59362.585950956,134.06,-16.28,1.024,18.056,2.3973e-06,252.4569,59362.585522715264
60048.33390028,209.54,-15.81,0.8,10.2279,2.6517e-07,332.573,60048.33347203926
60566.83587921,89.31,-14.28,0.744,8.2948,1.0892e-07,70.71641,60566.83545096926
60241.555953943,15.37,-14.05,0.048,5.0234,5.4477e-08,315.8096,60241.555525702264
60651.868770205,234.82,-14.33,0.256,4.3303,1.6468e-07,0.0,60651.86834196426
61208.900505543,224.34,-12.614,0.144,9.6778,2.488e-07,0.0,61208.90007730226
60052.883026556,47.44,-12.46,0.256,12.8364,6.112e-07,1015.254,60052.882598315264
59709.146601282,109.35,-11.86,1.472,5.9735,2.2087e-07,0.0,59709.14617304126
59936.997300454,353.65,-11.8,0.32,10.3712,2.4537e-07,393.5377,59936.99687221326
60543.775030113,354.23,-10.18,1.728,17.3395,1.924e-06,767.9626,60543.77460187226
61054.486415624,74.5983,-8.0143,0.32,19.5776,1.5378e-06,0.0,61054.48598738326
59511.065409708,28.053,-6.973,0.064,4.3485,6.9131e-08,0.0,59511.06498146726
61219.910694679,308.17,-6.87,0.784,4.6985,9.0768e-08,0.0,61219.91026643826
59956.342042796,75.12,-5.12,0.16,5.8461,1.1145e-07,444.4234,59956.34161455526
59162.104928161,136.09,-5.13,0.448,9.9112,4.8664e-07,273.2042,59162.104499920264
60486.31435915,118.74,-4.94,0.152,35.2604,4.8299e-07,94.8918,60486.31393090926
60374.928200808,261.1,-3.24,0.32,4.1513,2.073e-07,0.0,60374.92777256726
60739.645114807,223.71,-2.95,1.856,9.3137,1.0789e-06,0.0,60739.64468656626
60192.656247337,154.76,-0.76,0.288,4.3223,9.5465e-08,185.0969,60192.65581909626
59681.7130676,320.794,-0.223,0.16,7.2225,1.8032e-07,620.4216,59681.71263935926
59973.253716986,111.94,2.35,0.384,4.404,1.0317e-07,881.7613,59973.25328874526
60150.439477765,207.23,4.92,0.576,6.2622,1.7571e-07,197.455,60150.43904952426
60996.513797946,331.3,5.57,1.344,6.4505,3.881e-07,0.0,60996.51336970526
60648.15234392,316.5,6.55,0.768,18.0821,3.6641e-07,0.0,60648.151915679264
59410.86563203,322.3,6.6,0.384,5.3917,3.1384e-07,1155.903,59410.86520378926
59112.831245025,158.01,7.12,0.384,6.0681,4.7304e-07,0.0,59112.83081678426
59484.030530771,236.37,7.8,1.088,4.3849,8.975e-08,0.0,59484.03010253026
59877.040490958,133.4,11.0,0.448,5.8424,3.3335e-07,1246.481,59877.040062717264
60935.269263079,291.378,11.113,0.192,10.9953,1.9612e-07,0.0,60935.26883483826
59384.531756131,73.88,12.49,1.28,11.9291,1.2669e-06,1150.903,59384.53132789026
60764.911366929,114.07,13.34,0.448,14.3516,6.5369e-07,0.0,60764.91093868826
60558.18560347,268.0,14.2,1.28,14.1104,1.8448e-06,1158.459,60558.185175229264
59747.771677112,156.96,15.53,0.704,4.7771,3.7546e-07,2909.121,59747.771248871264
61159.97502334,283.92,18.1,0.16,34.7945,9.1977e-07,0.0,61159.97459509926
60345.851744365,300.9,20.55,1.792,5.348,3.4768e-07,0.0,60345.85131612426
60477.233832184,149.42,20.96,0.016,6.1212,4.3802e-08,0.0,60477.23340394326
60884.392888588,246.05,21.76,0.576,4.3148,1.1261e-07,0.0,60884.39246034726
60283.100826475,206.06,22.75,0.32,15.509,5.619e-07,707.7983,60283.10039823426
59727.258882101,311.21,24.3,0.576,4.7598,5.6995e-07,0.0,59727.25845386026
59296.918268478,317.946,25.3699,0.96,12.4864,5.6691e-07,1497.037,59296.91784023726
60940.884327123,48.67,30.71,0.128,6.3548,1.42e-07,0.0,60940.88389888226
59204.591470074,110.61,32.04,0.032,6.7809,1.3809e-07,0.0,59204.591041833264
59771.278560511,96.13,33.94,1.472,4.9483,2.2204e-07,0.0,59771.27813227026
59087.187414012,4.67,35.29,1.136,30.0007,2.7077e-06,194.924,59087.18698577126
60476.744271446,326.141,38.5948,0.096,22.2151,4.49e-07,869.0389,60476.74384320526
60891.484762523,114.09,42.02,0.16,4.4688,7.1912e-08,0.0,60891.484334282264
59204.9628973,171.059,42.1432,0.144,20.6677,4.6945e-07,140.6982,59204.96246905926
60064.32452321,184.75,43.05,0.32,13.3494,6.8755e-07,845.7714,60064.32409496926
59107.845547938,188.89,43.3,0.96,6.553,3.7112e-07,1076.418,59107.84511969726
59976.2358033,346.45,43.77,1.28,5.1499,3.2316e-07,0.0,59976.23537505926
60444.169271296,5.07,44.52,1.408,7.8696,8.4116e-07,1065.664,60444.16884305526
61192.458477302,15.088,45.49,0.224,18.1464,7.372e-07,0.0,61192.458049061264
60723.996317151,104.533,52.0167,0.352,22.8889,7.7506e-07,0.0,60723.99588891026
59919.586391346,170.11,56.82,0.384,4.2121,2.2082e-07,0.0,59919.58596310526
61067.835099168,190.42,56.88,1.024,10.6293,4.7906e-07,0.0,61067.83467092726
60903.062620991,156.7,58.87,0.704,14.7086,6.7409e-07,0.0,60903.06219275026
59668.519551775,324.13,63.06,0.32,4.1392,1.7485e-07,0.0,59668.519123534265
61070.562046541,48.7,64.17,0.496,14.621,3.8002e-07,0.0,61070.561618300264
60432.906304962,166.88,66.3,0.768,4.9222,2.6428e-07,118.8036,60432.90587672126
60011.564206036,94.91,68.46,0.576,31.1582,2.2906e-06,1079.138,60011.56377779526
60089.448707541,45.27,69.35,0.112,11.2172,2.8906e-07,819.5804,60089.44827930026
60263.650245386,149.001,69.6801,0.032,6.0222,1.2465e-07,0.0,60263.64981714526
59661.507078317,355.19,71.88,0.448,4.7989,1.1684e-07,0.0,59661.50665007626
59466.446751911,176.73,83.85,1.408,14.3834,1.9903e-06,186.818,59466.44632367026
59389.040546849,119.32,87.11,0.304,8.9562,2.0602e-07,554.5049,59389.04011860826
