gbm_TRIGGER_TIME,gbm_RA,gbm_DEC,gbm_T90,gbm_FLUX_BATSE_64,gbm_FLUENCE_BATSE,gbm_PFLX_COMP_EPEAK,gbm_mjd_utc,swift_NAME,swift_OBSID,swift_RA,swift_DEC,swift_START_TIME,swift_PROCESSING_DATE,swift_XRT_EXPOSURE,swift_UVOT_EXPOSURE,swift_BAT_EXPOSURE,swift_ARCHIVE_DATE,swift_AF_INSAA,swift_AF_INSLEW,swift_AF_ONSOURCE,swift_AF_TOTAL,swift_ATT_FLAG,swift_BAT_EXPO_EV,swift_BAT_EXPO_MT,swift_BAT_EXPO_PL,swift_BAT_EXPO_RT,swift_BAT_EXPO_SV,swift_BAT_NO_MASKTAG,swift_BII,swift_CYCLE,swift_GRB_FLAG,swift_LII,swift_NUM_PROCESSED,swift_OBS_SEGMENT,swift_ORIG_OBS_SEGMENT,swift_ORIG_OBSID,swift_ORIG_TARGET_ID,swift_PI,swift_PRNB,swift_PROCESSING_VERSION,swift_ROLL_ANGLE,swift_SAA_FRACTION,swift_SOFTWARE_VERSION,swift_STOP_TIME,swift_TARGET_ID,swift_TDRSS_FLAG,swift_UVOT_EXPO_BB,swift_UVOT_EXPO_BL,swift_UVOT_EXPO_GU,swift_UVOT_EXPO_GV,swift_UVOT_EXPO_M2,swift_UVOT_EXPO_MG,swift_UVOT_EXPO_UU,swift_UVOT_EXPO_VV,swift_UVOT_EXPO_W1,swift_UVOT_EXPO_W2,swift_UVOT_EXPO_WH,swift_XRT_EXPO_IM,swift_XRT_EXPO_LR,swift_XRT_EXPO_PC,swift_XRT_EXPO_PU,swift_XRT_EXPO_WT,swift_TRIG_TIME_MJD,swift_mjd_utc,time_diff_sec
56508.023096377,280.03,-76.15,0.96,22.8823,8.1016e-07,531.6207,56508.02269128441,GRB 130803A                                                                     ,00565263001,220.22029,-2.4715,56507.6616319444,           58075,6716.452,6858.361,7528.0,56518,7604.79834,985.00061,9284.99473,10269.99534,112 ,0.0,30376.0,0.0,10286.4,7528.0,3,50.35628,0,Y,348.96007,15,1,1,00565263001,565263,Swift                       ,1,3.17.15                                                                         ,287.55312,0.7636,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_14                   ,56508.1414583333,565263,Y,92.456,0.0,0.0,0.0,2450.963,0.0,1057.241,899.326,1458.607,899.768,0.0,0.0,0.0,6685.901,0.0,30.551,56507.6616319444,56507.6616319444,0.36105934000806883
57816.003079519,330.5,-73.76,0.16,7.8867,1.3465e-07,98.40894,57816.002651278264,GRB161219b                                                                      ,00727541045,91.68109,-26.75342,57816.2483449074,           57826,2648.905,2608.911,0.0,57827,0.0,650.60026,2654.99804,3305.5983,112 ,0.0,6592.0,0.0,3318.4,0.0,2,-21.059,0,Y,233.09644,5,45,45,00727541045,727541,Swift                       ,1,3.17.11                                                                         ,246.6955,0.0,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_6                    ,57816.4518287037,727541,N,304.233,0.0,0.0,0.0,0.0,0.0,621.275,130.1,1553.303,0.0,0.0,0.0,0.0,2648.905,0.0,0.0,57816.2483449074,57816.2483449074,0.245693629134621
55604.550387994,311.33,-74.5,0.064,9.4294,2.1314e-07,332.119,55604.549994475485,GRB110210a                                                                      ,00445141002,13.05681,7.83007,55604.1417592593,           57632,9871.282,9896.495,10162.0,55615,642.07196,2325.99026,9954.99052,12280.98078,110 ,0.0,23376.0,12338.0,12334.4,10162.0,2,-55.04116,0,Y,123.27309,12,2,2,00445141002,445141,Swift                       ,1,3.17.06                                                                         ,247.07423,0.02411,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_2                    ,55604.8053935185,445141,N,0.0,0.0,9896.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9807.65,0.0,63.632,55604.1417592593,55604.1417592593,0.408235216185858
56824.164642744,104.94,-70.51,0.512,6.2925,1.847e-07,0.0,56824.16423765141,"Burst (231.172, -79.129)                                                        ",00601646004,231.14328,-79.11655,56824.2996759259,           58169,3989.127,3987.01,4001.0,56835,0.0,242.99986,3994.9989,4237.99876,112 ,0.0,12200.0,0.0,4241.6,4001.0,3,-18.41386,0,Y,310.01407,6,4,4,00601646004,601646,Swift                       ,1,3.17.16                                                                         ,207.04396,0.0,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_14                   ,56824.4343055556,601646,Y,0.0,0.0,0.0,0.0,0.0,0.0,3987.01,0.0,0.0,0.0,0.0,0.0,0.0,3984.115,0.0,5.012,56824.2996759259,56824.2996759259,0.13543827449029777
55062.607262364,49.08,-67.12,0.192,4.1064,1.3587e-07,478.2112,55062.60686884548,GRB090727                                                                       ,00358520021,315.93679,64.92022,55062.3986111111,           57486,11583.361,11579.999,11715.0,55073,6931.79494,713.19193,11614.99485,12328.18678,112 ,0.0,36952.0,0.0,12348.8,11715.0,4,11.95259,0,Y,101.64398,10,21,21,00358520021,358520,Swift                       ,1,3.17.03                                                                         ,352.43767,0.55058,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_1                    ,55062.9694907407,358520,N,0.0,0.0,0.0,0.0,11579.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11583.361,0.0,0.0,55062.3986111111,55062.3986111111,0.2082577343826415
55098.624930686,69.73,-65.02,0.352,4.791,1.7146e-07,584.5059,55098.62453716748,GRB090926a                                                                      ,00020113001,353.55217,-66.31082,55100.7190856481,           57489,5952.293,5907.334,5469.0,55111,5129.59784,324.39948,5964.99766,6289.39714,112 ,0.0,11408.0,0.0,5718.4,5469.0,2,-49.02766,0,Y,314.6207,5,1,1,00020113001,20113,Swift                       ,1,3.17.03                                                                         ,199.91683,0.81224,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_1                    ,55100.9163194444,20113,N,0.0,0.0,0.0,0.0,0.0,0.0,2299.702,1842.354,0.0,0.0,1765.278,0.0,0.0,5930.406,0.0,21.887,55100.7190856481,55100.7190856481,2.0945484806215973
58729.721947401,62.43,-64.86,0.272,8.8627,2.1055e-07,883.5512,58729.72151916026,GRB190829a                                                                      ,00922968008,44.56268,-8.93702,58729.0837384259,           58739,5091.704,5049.159,5122.0,58740,0.0,636.4003,5109.99708,5746.39738,112 ,0.0,8464.0,0.0,5758.4,5122.0,2,-54.96781,0,Y,187.66995,12,8,8,00922968008,922968,Swift                       ,1,3.18.06                                                                         ,87.65766,0.0,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_16                   ,58729.9612962963,922968,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.159,0.0,0.0,5091.644,0.0,0.06,58729.0837384259,58729.0837384259,0.6377807343596942
57780.066525354,339.33,-63.94,0.128,36.6704,1.2868e-06,945.6052,57780.06609711326,GRB170126a                                                                      ,00735188002,263.71628,-64.82699,57780.2076041667,           57790,2296.863,2291.493,2311.0,57791,1795.7994,336.16436,2304.99748,2641.16184,112 ,0.0,7944.0,0.0,2652.8,2311.0,3,-16.77038,0,Y,327.7464,8,2,2,00735188002,735188,Swift                       ,1,3.17.10                                                                         ,63.41367,0.69631,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_3                    ,57780.9773726852,735188,N,0.0,0.0,0.0,0.0,0.0,0.0,2291.493,0.0,0.0,0.0,0.0,0.0,0.0,2296.863,0.0,0.0,57780.2076041667,57780.2076041667,0.14150705344218295
58271.93825627,86.05,-62.78,0.008,8.5151,1.1738e-07,449.8111,58271.93782802926,GRB180602a                                                                      ,00835200002,142.30746,32.07298,58271.8944097222,           58281,4966.464,4888.421,5028.0,58282,3932.46058,486.78908,5014.99774,5501.78682,112 ,0.0,392.0,0.0,5513.6,5028.0,5,46.16172,0,Y,193.79329,7,2,2,00835200002,835200,Swift                       ,1,3.18.01                                                                         ,280.72132,0.7317,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_15                   ,58272.1073611111,835200,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4888.421,0.0,0.0,0.0,0.0,4941.635,0.0,24.829,58271.8944097222,58271.8944097222,0.0434183070610743
58898.317234906,342.638,-59.12,1.152,10.9952,7.5544e-07,1480.176,58898.31680666526,GRB200219a                                                                      ,00957271000,342.75728,-59.09547,58898.3047222222,           58908,12581.921,12305.659,19495.221,58909,6376.92698,1237.20111,18934.99503,20172.19614,112 ,1382.221,59680.0,0.0,21089.6,18113.0,5,-51.87839,0,Y,327.59459,10,0,0,00957271000,957271,Swift                       ,1,3.18.10                                                                         ,346.2121,0.33678,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_16                   ,58898.8606134259,957271,Y,2292.807,0.0,49.77,0.0,2177.182,0.0,2473.978,1807.292,1267.97,928.354,1308.306,2.589,0.0,12363.478,0.0,215.854,58898.3047222222,58898.3047222222,0.012084443056664895
55774.334526453,248.27,-57.06,0.384,6.1003,2.167e-07,223632.8,55774.334132934484,GRB110731a                                                                      ,00458448002,280.46571,-28.56018,55774.5868055556,           57923,4714.894,4686.596,4787.0,55785,115.34532,624.78286,4729.99764,5354.7805,112 ,0.0,15600.0,5456.0,5368.0,4787.0,3,-10.68146,0,Y,6.18747,7,2,2,00458448002,458448,Swift                       ,1,3.17.13                                                                         ,236.44304,0.0,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_10                   ,55774.7528587963,458448,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4686.596,0.0,0.0,4700.581,0.0,14.313,55774.5868055556,55774.5868055556,0.25267262111447053
59044.344049929,190.43,-53.95,0.96,7.8651,5.4066e-07,326.1012,59044.34362168826,GRB200713a                                                                      ,00982201004,76.97798,-32.79714,59044.2719444444,           59054,4932.399,4761.377,4964.0,59055,8.60102,1269.80309,4974.99163,6244.79472,112 ,0.0,5928.0,0.0,6281.6,4964.0,1,-34.99837,0,Y,235.52892,13,4,4,00982201004,982201,Swift                       ,1,3.18.12                                                                         ,38.09147,0.0,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_17                   ,   59044.9359375,982201,N,959.974,0.0,0.0,0.0,853.606,0.0,570.799,410.612,791.965,1163.907,10.514,0.0,0.0,4888.104,0.0,44.295,59044.2719444444,59044.2719444444,0.07167724386090413
