NAME,OBSID,RA,DEC,START_TIME,PROCESSING_DATE,XRT_EXPOSURE,UVOT_EXPOSURE,BAT_EXPOSURE,ARCHIVE_DATE,AF_INSAA,AF_INSLEW,AF_ONSOURCE,AF_TOTAL,ATT_FLAG,BAT_EXPO_EV,BAT_EXPO_MT,BAT_EXPO_PL,BAT_EXPO_RT,BAT_EXPO_SV,BAT_NO_MASKTAG,BII,CYCLE,GRB_FLAG,LII,NUM_PROCESSED,OBS_SEGMENT,ORIG_OBS_SEGMENT,ORIG_OBSID,ORIG_TARGET_ID,PI,PRNB,PROCESSING_VERSION,ROLL_ANGLE,SAA_FRACTION,SOFTWARE_VERSION,STOP_TIME,TARGET_ID,TDRSS_FLAG,UVOT_EXPO_BB,UVOT_EXPO_BL,UVOT_EXPO_GU,UVOT_EXPO_GV,UVOT_EXPO_M2,UVOT_EXPO_MG,UVOT_EXPO_UU,UVOT_EXPO_VV,UVOT_EXPO_W1,UVOT_EXPO_W2,UVOT_EXPO_WH,XRT_EXPO_IM,XRT_EXPO_LR,XRT_EXPO_PC,XRT_EXPO_PU,XRT_EXPO_WT,TRIG_TIME_MJD,mjd_utc
GRB051221a                                                                      ,00173780007,328.70739,16.89364,53729.0291898148,           57050,96249.014,96001.03,86650.0,53740,0.0,713.4032,96584.97468,97298.37788,112 ,0.0,284312.0,0.0,97446.4,86650.0,3,-28.58728,0,Y,73.5522,42,7,7,00173780007,173780,Swift                       ,1,3.16.07                                                                         ,224.66184,0.0,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_13                   ,53732.0002662037,173780,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49002.701,0.0,0.0,46998.329,0.0,0.0,95832.822,0.0,416.192,53729.0291898148,53729.0291898148
GRB050603                                                                       ,00131560002,39.95079,-25.21897,53524.9993171296,           56979,81372.946,64004.297,82323.0,53535,0.0,7699.88389,82109.87195,89809.75584,112 ,0.0,88984.0,4032.0,89286.4,82323.0,2,-65.6584,0,Y,214.59248,42,2,2,00131560002,131560,Swift                       ,1,3.16.06                                                                         ,37.50837,0.0,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_13                   ,53527.9496527778,131560,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64004.297,0.0,0.0,0.0,0.0,0.0,81079.005,0.0,293.941,53524.9993171296,53524.9993171296
GRB051117a                                                                      ,00164268014,228.46115,30.87659,53707.0416782407,           57050,70735.384,0.0,71955.0,53718,0.0,0.0,0.0,0.0,110 ,0.0,239192.0,0.0,79854.4,71955.0,3,58.76903,0,Y,48.42794,5,14,8,00020023008,20023,Swift                       ,1,3.16.07                                                                         ,146.36382,0.0,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_13                   ,53710.0053587963,164268,N,0.0,43469.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70552.413,0.0,182.971,53707.0416782407,53707.0416782407
GRB050803                                                                       ,00148833003,350.64958,5.7499,53588.0181944444,           57011,68647.125,66103.023,69816.0,53599,1508.52206,8306.54563,69529.97317,77836.5188,112 ,0.0,233528.0,78080.0,77990.4,69816.0,7,-50.72593,0,Y,86.48168,52,3,3,00148833003,148833,Swift                       ,1,3.16.06                                                                         ,49.28614,0.0217,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_13                   ,53591.0353703704,148833,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66103.023,0.0,0.0,0.0,0.0,0.0,68530.459,0.0,116.666,53588.0181944444,53588.0181944444
GRB051117b                                                                      ,00164279003,85.18906,-19.29861,53693.0375115741,           57050,67050.986,66931.112,68969.0,53704,1058.81494,6840.96668,68439.97948,75280.94616,112 ,0.0,191648.0,75500.0,75388.8,68969.0,8,-23.93292,0,Y,223.2365,41,3,3,00164279003,164279,Swift                       ,1,3.16.07                                                                         ,152.66738,0.0047,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_13                   , 53695.998275463,164279,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66931.112,0.0,0.0,0.0,0.0,0.0,66876.712,0.0,174.274,53693.0375115741,53693.0375115741
GRB051109a                                                                      ,00163136017,330.31229,40.83511,53698.0215393519,           57050,66818.943,0.0,70094.0,53709,60.05472,5848.16147,69509.97507,75358.13654,110 ,0.0,150576.0,75198.0,75481.6,70094.0,4,-11.41521,0,Y,91.47001,40,17,17,00163136017,163136,Swift                       ,1,3.16.07                                                                         ,260.9169,0.00086,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_13                   ,53701.0043402778,163136,N,0.0,69287.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64574.107,0.0,2244.836,53698.0215393519,53698.0215393519
GRB060105                                                                       ,00175942002,297.48792,46.32851,53742.0104166667,           57063,66575.606,61959.521,66937.0,53753,0.0,5749.40156,67009.96158,72759.36314,112 ,0.0,215432.0,0.0,71838.4,66937.0,5,10.05608,0,Y,80.20046,43,2,2,00175942002,175942,Swift                       ,1,3.16.07                                                                         ,180.10422,0.0,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_13                   ,53744.7058680556,175942,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61959.521,0.0,0.0,0.0,0.0,0.0,66146.168,0.0,429.438,53742.0104166667,53742.0104166667
GRB051117a                                                                      ,00164268009,228.43507,30.88454,53698.0027893518,           57050,64673.909,0.0,65562.0,53709,0.0,0.0,0.0,0.0,110 ,0.0,218480.0,73084.0,72907.2,65562.0,4,58.7917,0,Y,48.44162,5,9,3,00020023003,20023,Swift                       ,1,3.16.07                                                                         ,155.45049,0.0,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_13                   ,53700.9687384259,164268,N,0.0,44984.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64431.808,0.0,242.101,53698.0027893518,53698.0027893518
GRB051221a                                                                      ,00173780005,328.70407,16.89408, 53727.020150463,           57050,64571.336,64232.1,58181.0,53738,293.6176,474.19895,64859.98119,65334.18014,112 ,0.0,196128.0,0.0,65436.8,58181.0,3,-28.58472,0,Y,73.54999,32,5,5,00173780005,173780,Swift                       ,1,3.16.07                                                                         ,228.01118,0.0038,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_13                   ,53728.9902430556,173780,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32400.671,0.0,0.0,31831.429,0.0,0.0,64083.173,0.0,488.163,53727.020150463,53727.020150463
GRB051221a                                                                      ,00173780011,328.66944,16.87305,53734.0479282407,           57050,63693.534,0.0,64429.0,53745,57.8726,6155.80037,64044.98447,70200.78484,110 ,0.0,140488.0,0.0,70281.6,64429.0,5,-28.57621,0,Y,73.50635,33,11,11,00173780011,173780,Swift                       ,1,3.16.07                                                                         ,223.45202,0.0,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_13                   ,53736.0006712963,173780,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63602.338,0.0,91.196,53734.0479282407,53734.0479282407
